Skill	Description	Normal	Expert	Master
Chain	Die Kettenrüstung ist eine mittelschwere Rüstung. Sie bietet mehr Schutz als Leder und weniger als ein Panzer, aber sie verlangsamt Deinen Charakter auch mehr als eine Lederrüstung. Die Kettenrüstungs-Fähigkeit verbessert den Schutz, den die Rüstung bietet. Wie bei allen Rüstungen reduzieren Experten- und Meisterrang den Wert, um den der Charakter verlangsamt wird.	Diese Fähigkeit wird zur Rüstungsklasse addiert (doppelte Wirkung)	Diese Fähigkeit wird zur Rüstungsklasse addiert (vierfache Wirkung). Erholungseinbuße reduziert	Diese Fähigkeit wird zu allen Resistenzen addiert (doppelte Wirkung). Erholungseinbuße eliminiert
Plate	Die Panzerrüstung ist die schwerste Rüstung. Sie bietet den besten Schutz, aber sie verlangsamt den Charakter auch mehr als Ketten oder Leder. Die Panzerrüstungs-Fähigkeit steigert den Schutz, den die Panzerrüstung bietet. Wie bei allen Rüstungen reduzieren Experten- und Meisterrang den Wert, um den der Charakter verlangsamt wird.	Diese Fähigkeit wird zur Rüstungsklasse addiert (doppelte Wirkung)	Diese Fähigkeit wird zur Rüstungsklasse addiert (vierfache Wirkung). Erholungseinbuße reduziert	Diese Fähigkeit wird zu allen Resistenzen addiert (doppelte Wirkung). Erholungseinbuße eliminiert
Fire	Feuermagie ist eine gute Quelle offensiver Zaubersprüche, inklusive der Zaubersprüche, die mit Geschwindigkeit zu tun haben. Experten und Meister haben Zugang zu den größeren Varianten der Zaubersprüche der Feuermagie .	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch
Air	Die Luftmagie ist defensiver und informativer Natur. Sie beinhaltet Zaubersprüche, die mit dem Fliegen zu tun haben. Experten und Meister haben Zugang zu den größeren Varianten der Zaubersprüche der Luftmagie.	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch
Water	Die Wassermagie ist gleichsam offensiv wie defensiv ausgerichtet, und beinhaltet Zaubersprüche, die Dinge bewegen oder verändern können. Experten und Meister haben Zugang zu den größeren Varianten der  Zaubersprüche der Wassermagie.	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch
Earth	Die Erdmagie ist defensiv und bietet Zaubersprüche zum Schutz, zur Bindung und zur Stärkung. Experten und Meister haben Zugang zu den größeren Zaubersprüchen der Erdmagie.	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch
Spirit	Die Spirituelle Magie konzentriert sich auf Sprüche im Zusammenhang mit Leben und Tod, inklusive solcher Zaubersprüche, die die Toten auferstehen lassen, die gegen Untote gerichtet sind oder die das Altern beeinflussen. Experten und Meister haben Zugang zu den größeren Varianten der Zaubersprüche der spirituellen Magie.	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch
Mind	Die Geistesmagie ist informativer und offensiver Natur. Charme, Angst und Telekinese sind gute Beispiele hierfür. Experten und Meister haben Zugang zu den größeren Varianten der Zaubersprüche der Geistesmagie.	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch
Body	Körpermagie basiert auf Zaubersprüchen zur Heilung und Verbesserung. Zaubersprüche, die heilen, verwunden sowie Krankheit und Vergiftung besiegen können, gehören in diese Kategorie. Experten und Meister haben Zugang zu den größeren Varianten der Zaubersprüche der Körpermagie.	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch
Light	Die Lichtmagie repräsentiert einige der stärksten Zaubersprüche in Enroth. Sie kann nur von Klerikern und Hexern genutzt werden und sie kann nicht beim Spielstart gewählt werden, sie muß vielmehr im Laufe Deiner Reisen erlernt und gemeistert werden.	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch
Dark	Die Zaubersprüche der Schattenmagie sind die stärksten in ganz Enroth. Während die Zaubersprüche der Schattenmagie spektakuläre Effekte haben können, hat die Schattenmagie meist auch unerwünschte Nebeneffekte... Die Schattenmagie kann nur von Klerikern und Hexern genutzt werden und sie kann nicht beim Spielstart gewählt werden.	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch	Effekt variiert mit dem verwendeten Zauberspruch
Identify	Objekte und Ausrüstungsgegenstände können nicht benutzt werden, solange sie nicht erkannt worden sind. Die Fähigkeit des Erkennens wird, wenn der Charakter die nötige Stufe erreicht hat, ein Objekt automatisch identifizieren, wenn Du Rechts darauf klickst. Bestimmte Objekte setzen den Experten- oder Meisterrang voraus, bevor sie erkannt werden können.	Höhere Fähigkeit erlaubt ungewöhnlichere Objekte zu erkennen	Doppelte Wirkung der Fähigkeit	Dreifache Wirkung der Fähigkeit
Merchant	Die Handelsfähigkeit hilft, die Preise zu Deinen Gunsten zu beeinflussen, egal ob Du kaufst oder verkaufst.	Fähigkeit reguliert die Preise zu Deinen Gunsten	Doppelte Wirkung der Fähigkeit	Dreifache Wirkung der Fähigkeit
Repair	Die Reparaturfähigkeit erlaubt Deinem Charakter zerstörtes Ausrüstungsmaterial zu reparieren. Eine höhere Stufe läßt Dich höherwertige Objekte reparieren, und der Experten- und Meisterrang erlauben die Reparatur von komplexen Objekten und Artefakten. Die Fähigkeit arbeitet automatisch, sobald Du auf ein zerstörtes Objekt Rechts klickst.	Höhere Fähigkeit erlaubt schwierigere Reparaturen durchzuführen	Doppelte Wirkung der Fähigkeit	Dreifache Wirkung der Fähigkeit
Bodybuilding	Die Kondition fügt der Gesamtzahl der Trefferpunkte eines Charakters zusätzliche Trefferpunkte hinzu. Multipliziere die Stufe der Kondition mit dem Grundbonus der Klasse des Charakters (4 für Ritter, 1 für Hexer etc.) um die Gesamtzahl herauszufinden. Expertenrang verdoppelt diese Zahl, Meisterrang verdreifacht sie.	Diese Fähigkeit wird zu Trefferpunkten addiert	Doppelte Wirkung der Fähigkeit	Dreifache Wirkung der Fähigkeit
Meditation	Die Meditationsfähigkeit fügt der Gesamtzahl der Zauberpunkte zusätzliche Punkte hinzu. Multipliziere die Stufe der Meditationsfähigkeit mit dem Grundbonus der Klasse des Charakters (4 für Hexer, 0 für Ritter etc.), um auf die Gesamtzahl zu kommen. Expertenrang verdoppelt diese Zahl, Meisterrang verdreifacht sie.	Diese Fähigkeit wird zu Zauberpunkten addiert	Doppelte Wirkung der Fähigkeit	Dreifache Wirkung der Fähigkeit
Perception	Der 6. Sinn vergrößert die Chance eine Falle zu bemerken, die gerade zuschnappt, und ihr und dem damit verbundenen Schaden zu entgehen. Eine höhere Stufe des 6. Sinnes erlaubt, stärkere Fallen zu bemerken, und der Experten- und Meisterrang erlauben, komplexere Fallen zu erkennen und ihnen zu entkommen.	Diese Fähigkeit erhöht die Chance, Fallen zu entgehen und Schätze zu bemerken	Doppelte Wirkung der Fähigkeit	Dreifache Wirkung der Fähigkeit
Diplomacy	Die Diplomatie-Fähigkeit verringert den Effekt, den Betteln, Bestechungen oder Drohungen haben, wenn Du jemanden zur Kooperation bewegen willst. Je höher die Stufe, desto weniger wird Dein Ruf unter solchen Aktionen leiden. Experten- und Meisterrang verdoppeln bzw. verdreifachen den Effekt der Diplomatie-Fähigkeit.	Diese Fähigkeit reduziert den Effekt den betteln, drohen und bestechen auf Deinen Ruf haben	Doppelte Wirkung der Fähigkeit	Dreifache Wirkung der Fähigkeit
Thievery	Not Used	Normal Text goes here	Expert Text goes here	Master Text goes here
Disarm Traps	Die Fähigkeit Fallen zu entschärfen tritt automatisch in Aktion, wenn Du eine Kiste oder einen Container mit einer Falle darin öffnest. Eine höhere Stufe dieser Fähigkeit bedeutet gleichzeitig eine größere Chance, die Falle zu entschärfen. Experten- und Meisterrang verdoppeln bzw. verdreifachen die Chance, eine Falle erfolgreich zu entschärfen.	Die Fähigkeit erhöht die Chance, Fallen in Kisten etc. zu entschärfen	Doppelte Wirkung der Fähigkeit	Dreifache Wirkung der Fähigkeit
Learning	Die Lernfähigkeit vergrößert die Erfahrungen, die Dein Charakter macht. Jeder Punkt der Fähigkeit entspricht einem Prozent der verliehenen Erfahrung, der als Bonus vergeben wird (Plus einem Startbonus von 9%). Fünf Punkte bei Lernfähigkeit würden einen 100 Erfahrungspunkte Bonus auf 114 erhöhen. Expertenrang verdoppelt, und Meisterrang verdreifacht diesen Bonus. Also bedeuten 10 Punkte bei Lernfähigkeit auf der Stufe Meister einen Bonus von 10% * 3 + 9% Bonus=39% aller erreichten Erfahrungspunkte.	Diese Fähigkeit erhöht die Summe der erworbenen Erfahrung	Doppelte Wirkung der Fähigkeit	Dreifache Wirkung der Fähigkeit
