															
Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	Shape	Equip X	Equip Y	Notes
24	axe2	Kampfaxt	100	Weapon	Axe	4d3	4	5	2	Axt	7	9	491	70	Die Kampfaxt wurde eher als Kriegswaffe anstatt als Werkzeug gemacht und wird normalerweise von Barbaren und undisziplinierten Armeen benutzt.
25	axe3	Kriegsaxt	250	Weapon	Axe	4d3	8	5	4	Axt	7	9	500	77	Diese Kriegsaxt scheint aus einer großen Lieferung zu stammen, die von Roland während des Thronfolgekrieges erbeutet wurde. Sie wurde in Karigor auf Befehl von Archibald Ironfist hergestellt, um gegen seinen Bruder im Kampf um den Thron von Enroth eingesetzt zu werden.
26	axe4	Zwergenaxt	400	Weapon	Axe	4d3	12	5	5	Axt	7	9	497	66	Ein Beispiel für die hohe Qualität der Arbeit der Zwerge in den Roten Bergen. Die Klinge ist scharf, und die Balance ist perfekt.
27	axe5	Siegesaxt	550	Weapon	Axe	4d3	16	5	6	Axt	7	9	490	63	Diese Waffe hat mit Sicherheit ein dunkle Geschichte. Eine Axt dieser Qualität wird nur als persönliche Waffe eines edlen Zwerges hergestellt, und sie wird niemals verkauft oder fortgegeben...
28	2haxe1	Stabaxt	225	Weapon2	Axe	3d7	0	5	1	Beidhändige Axt	8	0	482	88	Diese Art Axt mit langem Heft wird typischerweise von Östlichen Stämmen und der Elitegarde einiger Mitglieder des Adels mit tödlicher Wirkung benutzt.
29	2haxe2	Schwere Stabaxt	450	Weapon2	Axe	3d7	12	5	5	Beidhändige Axt	8	0	496	6	Eine stärkere Version der Stabaxt. Diese Waffe wird häufig von Stadtwachen und anderen Kämpfern benutzt, die nicht darauf spezialisiert sind, in großen, koordinierten Gruppen (wie Armeen) zu kämpfen.
30	2haxe3	Große Stabaxt	900	Weapon2	Axe	3d7	24	5	8	Beidhändige Axt	8	0	492	1	Der Kopf der Klinge dieser Waffe wurde offensichtlich mit Hilfe von Magie geschaffen. Er ist sowohl ungewöhnlich scharf als auch zugleich sehr leicht.
31	spear1	Speer	15	Weapon1or2	Spear	1d7	0	6	1	Speer	9	21	519	12	Kaum mehr als ein angespitzter Stock, kann dieser Speer dennoch ziemlich tödlich sein. Wie alle Speere kann er ein- oder beidhändig (Erhöhter Schaden und Angriffsbonus) eingesetzt werden.
32	spear2	Schwerer Speer	50	Weapon1or2	Spear	1d7	3	6	2	Speer	9	21	517	20	Dieser Speer hat eine verstärkte Stahlspitze, damit er harte Rüstungen und Felle besser durchdringen kann. Wie alle Speere kann er ein- oder beidhändig (Erhöhter Schaden und Angriffsbonus) eingesetzt werden.
33	spear3	Schlangenspeer	250	Weapon1or2	Spear	1d7	6	6	3	Speer	9	21	500	13	Mit Schlangen um den Schaft dekoriert, ist dieser Speer mit einem Abstandshalter ausgestattet, damit aufgespießte Gegner nicht am Schaft entlangrutschen und Dir noch eins überziehen können. Wie alle Speere kann er ein- oder beidhändig (Erhöhter Schaden und Angriffsbonus) eingesetzt werden.
34	spear4	Angriffsspeer	450	Weapon1or2	Spear	1d7	9	6	4	Speer	9	21	510	10	Dieser Speer besteht vollständig aus einem seltenen, blauen Metall und seine untere Hälfte ist mit teurem Leder umwickelt. Ein Sammlerstück! Wie alle Speere kann er ein- oder beidhändig (Erhöhter Schaden und Angriffsbonus) eingesetzt werden.
35	spear5	Heiliger Speer	650	Weapon1or2	Spear	1d7	12	6	6	Speer	9	21	505	6	Ein Schmiedesymbol und eine Datumsprägung deuten an, daß dieser Speer in den magischen Schmieden von Gouverneur Padish 12 Jahre vor der Stille hergestellt wurde (Erhöhter Schaden und Angriffsbonus, wenn er beidhändig benutzt wird).
36	halberd1	Hellebarde	200	Weapon1or2	Spear	2d5	0	6	1	Hellebarde	10	0	499	5	Die Hellebarde kann als Kombination von Stabaxt und Speer schreckliche Wunden zufügen, sie läßt sich aber nur schwerfällig schwingen. Diese hier hat durchschnittliche Qualität und Verarbeitung (Erhöhter Schaden und Angriffsbonus, wenn sie beidhändig benutzt wird). 
37	halberd3	Schwere Hellebarde	400	Weapon1or2	Spear	2d5	4	6	4	Hellebarde	10	0	493	3	Diese Hellebarde ist eine solide Konstruktion und hat eine besonders schwere Klinge. Wenn ein mächtiger Krieger diese Waffe schwingt, kann er damit sicherlich auch die zähesten Monster erschlagen (Erhöhter Schaden und Angriffsbonus, wenn sie beidhändig benutzt wird).
38	halberd2	Elitehellebarde	700	Weapon1or2	Spear	2d5	10	6	8	Hellebarde	10	0	496	4	Eine kleine Prägung auf dieser Waffe zeigt, daß sie in der berühmten Gießerei Mekorig gemacht wurde, und zwar vom Meister persönlich, Mekorig dem Blinden. Es dürfte fast unmöglich sein, auf der ganzen Welt eine feinere Hellebarde zu finden (Erhöhter Schaden und Angriffsbonus, wenn sie beidhändig benutzt wird).
39	trident1	Dreizack	100	Weapon1or2	Spear	2d4	0	6	1	Dreizack	11	21	494	10	Gewöhnliche Kriegsdreizacke wie dieser sind Waffen guter Qualität, die von der Imperialen Regnanischen Marine ausgegeben wurden, um die Eintreibung Imperialer Zölle auf hoher See zu erleichtern. Die meisten Kaufleute und andere Regierungen nennen das Piraterie... (Erhöhter Schaden und Angriffsbonus, wenn er beidhändig benutzt wird).
40	trident2	Verzierter Dreizack	400	Weapon1or2	Spear	2d4	5	6	3	Dreizack	11	21	490	6	Ein Dreizack hoher Qualität im Stil der Waffen, die an Offiziere der Imperialen Regnanischen Marine ausgegeben wurden. Dieser hier stammt wahrscheinlich von einem Offizier während eines Imperialen Besteuerungskrieges, der für die Marine ein schlechtes Ende nahm (Erhöhter Schaden und Angriffsbonus, wenn er beidhändig benutzt wird).
41	trident3	Titanendreizack	700	Weapon1or2	Spear	2d4	11	6	6	Dreizack	11	21	492	2	Dieser schöne Dreizack besteht fast völlig aus Kergar, einem seltenen, bläulichen Metall, das nicht rostet oder mit der Zeit seine Schärfe verliert (Erhöhter Schaden und Angriffsbonus, wenn er beidhändig benutzt wird).
42	bow1	Langbogen	100	Missile	Bow	5d2	0	3	1	Langbogen	12	3	570	23	Ein einfacher Langbogen, der aus gebräuchlichen Materialien besteht und keinen aufregenden Entwurf darstellt.
43	bow2	Elfenbogen	200	Missile	Bow	5d2	2	3	3	Langbogen	12	3	569	34	Eine Waffe, die nur von den Elfen in den großen Erathaniaschen Wäldern gemacht wird. Dieser hier spiegelt die gleiche hohe Verarbeitungsqualität wider, die allen Erathianischen Artefakten zu eigen ist.
44	bow3	Präzisionsbogen	300	Missile	Bow	5d2	4	3	5	Langbogen	12	3	578	35	Eingeschnitzte Initialien am Griff des Bogens zeigen, daß dieser Bogen in der Werkstatt des Bognermeisters Ivan Selving während der Holzkriege gegen die Elfen von Erathania im späten 7. Jahrhundert gemacht wurde.
45	bow4	Zauberbogen	400	Missile	Bow	5d2	6	3	7	Langbogen	12	3	564	41	Dieser Bogen ist aus seltsamen Materialien zusammengesetzt und wird mit feinen Verzauberungen zusammengehalten. Er ist extrem leicht und genau.
46	bow5	Sternenbogen	500	Missile	Bow	5d2	8	3	9	Langbogen	12	3	567	26	Als die Himmlischen Schmieden einige Jahre nach der Stille nutzlos geworden waren, wurden viele der verzauberten Stücke entwendet. Nur wenige dieser Bögen haben überlebt. Die wenigen Überbleibsel werden von Elfen und einzelnen Sammlern gehortet.
47	crsbow1	Armbrust	50	Missile	Bow	4d2	0	4	1	Armbrust	13	0	555	75	Armbrüste sind die tödlichsten Waffen, die seit der Zeit der Wunder im Umlauf sind. Diese Armbrust ist aus festem Eibenholz und Metallteilen gebaut, aber ansonsten ist sie ziemlich normal.
48	crsbow2	Todesarmbrust	200	Missile	Bow	4d2	3	4	4	Armbrust	13	0	533	72	Diese Armbrüste wurden vor dem Thronfolgekrieg von Archibald angesammelt, um gegen seinen Bruder eingesetzt zu werden. Er lag mit seiner Wahl wie bei den meisten Entscheidungen, die das Töten betrafen, richtig. Diese Armbrüste gehören zu den besten im Land.
49	crsbow3	Spezialarmbrust	400	Missile	Bow	4d2	7	4	8	Armbrust	13	0	557	66	Mit einer Handkurbel und einer Zielvorrichtung ausgestattet, sind diese außergewöhnlichen Armbrüste besser als alle, die es davor gegeben hat. Nur, woher sie kommen, ist zur Zeit ein Mysterium.
50	mace1	Keule	50	Weapon	Mace	2d4	0	6	1	Keule	14	0	496	74	Diese gewöhnliche Keule ist nur wenig mehr als ein verherrlichter Knüppel. Sie besteht aus normalen Materialien und hat eine herkömmliche Verarbeitung.
51	mace2	Gefährliche Keule	150	Weapon	Mace	2d4	2	6	2	Keule	14	0	498	54	Ein solider Entwurf, um tödliche Verletzungen beizubringen, auch durch Rüstungen. Die Balance ist ein wenig kopflastig, aber die Verarbeitung ist gut.
52	mace3	Donnerkeule	300	Weapon	Mace	2d4	5	6	3	Keule	14	0	489	55	Diese Keule ist eine von tausenden, die von den Himmlischen Schmieden vor der Stille hergestellt wurden. Das war jedoch vor mehr als tausend Jahren, und daher sind nicht viele übriggeblieben.
53	mace4	Wunderkeule	450	Weapon	Mace	2d4	8	6	4	Keule	14	0	503	67	Nur durch Magie kann eine so unhandliche Waffe so leicht sein und so hart zuschlagen.
54	mace5	Todeskeule	600	Weapon	Mace	2d4	11	6	6	Keule	14	0	502	75	Diese ungewöhnlichen Waffen wurden von der Gilde der Totenbeschwörer kurz vor ihrem Fall während des Thronfolgekrieges konstruiert und sind meistens mit mächtiger Magie verzaubert.
55	hammer1	Hammer	120	Weapon	Mace	2d6	0	6	1	Hammer	15	3	487	76	Eine ungehobelte und einfallslose Waffe. Hämmer sind langsam, aber sie treffen hart. Dieser hier ist gewöhnlich konstruiert und besteht aus normalem Material.
56	hammer2	Donnerhammer	300	Weapon	Mace	2d6	4	6	3	Hammer	15	3	497	71	"Die Qualität der Konstruktion dieser Hämmer ist ein Schritt nach vorne. Sie werden meistens von humanoiden Monstern geschwungen. Da jeder weiß, daß diese keine Waffen herstellen, fragt man sich: ""Woher kommen die Waffen?"""
57	hammer3	Heiliger Hammer	600	Weapon	Mace	2d6	10	6	5	Hammer	15	3	504	55	Diese magisch konstruierten Hämmer sind das Eigentum der Kirche des Mondes in Karigor.
58	club1	Knüppel	1	Weapon	Club	1d3	0	3	0	Knüppel	16	0	498	51	Eine primitive Waffe, die sogar die dümmsten Monster benutzen können. Du denkst doch wohl nicht daran, so etwas zu benutzen, oder?
59	club2	Dornenknüppel	40	Weapon	Club	1d3	3	3	2	Knüppel	16	0	501	29	Dieser Dornenknüppel ist eine Verbesserung des simplen Knüppels. Er fügt unangenehmere Wunden zu.
60	club3	Mörderknüppel	100	Weapon	Club	1d3	5	3	3	Knüppel	16	0	512	58	Der König der Knüppel. Wenn diese Waffe an ihrem Ende einen Knauf oder eine Kugel hätte, wäre sie eine Keule. Es gibt an diesem Knüppel Anzeichen für echte Handwerkskunst, aber man kann nicht erkennen, wer ihn geschaffen hat.
61	staff1	Stab	40	Weapon2	Staff	2d8	0	3	1	Stab	17	21	512	78	Der Stab ist die traditionelle Waffe der Unterdrückten. Dieser ist nichts besonderes, und der Rubin an seinem Ende ist eigentlich nur buntes Glas.
62	staff2	Smaragdstab	250	Weapon2	Staff	2d8	9	3	4	Stab	17	21	512	57	Dieser Stab ist magisch leicht und stark und aus einem seltenen Holz gemacht, das den Elfen während des Holzkrieges 600 n. St. geraubt wurde. Der Smaragd ist echt und dient wahrscheinlich als magisches Reservoir, aus dem der Stab seine Stärke zieht.
63	staff3	Energiestab	500	Weapon2	Staff	2d8	18	3	6	Stab	17	21	483	18	Dieser Stab wurde zusammen mit anderen seiner Sorte in der Schatzkammer der Totenbeschwörergilde nach ihrer katastrophalen Niederlage gegen Roland am Ende des Thronfolgekriegs gefunden.
64	raygun1	Blaster	0	Weapon	Blaster	3d5	8	10	20	Antike Waffe	18	0	508	130	Eine Waffe mit furchtbarer Gewalt, eindeutig während der Zeit der Wunder erschaffen.
65	raygun2	Blasterkanone	0	Weapon	Blaster	5d5	12	10	20	Antike Waffe	19	0	494	101	Die beste aller persönlichen Waffen. Diese Blasterkanone bringt den Tod schneller als alle Waffen, die Du je gesehen hast.
66	lr1icon	Lederrüstung	150	Armor	Leather	4	0	3	1	Lederrüstung	20	0	0	0	Als leichteste und am einfachsten gemachte Rüstung bietet die Lederrüstung den geringsten Schutz. Dieser spezielle Anzug hat durchschnittliche Qualität.
67	lr2icon	Verstärktes Leder	250	Armor	Leather	4	6	3	3	Lederrüstung	20	0	0	0	Das Verstärkte Leder bietet auf Kosten höherer Steifheit und höheren Gewichts mehr Schutz als normales Leder. Dieser spezielle Anzug ist gut gemacht.
68	lr3icon	Zauberleder	450	Armor	Leather	4	10	3	5	Lederrüstung	20	0	0	0	Dieser Anzug, der ansonsten eine gewöhnliche Lederrüstung ist, wurde mit einem feinen Zauber imprägniert, der das Material gegen Treffer verstärkt, ohne das Gewicht zu erhöhen.
69	lr4icon	Drachenleder	750	Armor	Leather	4	14	3	7	Lederrüstung	20	0	0	0	Standardlederrüstung der Offiziere in der Regnanischen Marine. Bei der Herstellung in den Waffenkammern Regnas wird jede dieser Lederrüstungen zur Verstärkung und Gewichtsersparnis verzaubert.
70	lr5icon	Königsleder	1150	Armor	Leather	4	20	3	9	Lederrüstung	20	0	0	0	Eine extrem seltene Lederrüstung, die während der Konflikte zwischen der Kirche des Mondes und der Kirche der Sonne vor ungefähr 80 Jahren erschaffen wurde. Diese Anzüge bieten den besten Schutz, der mit einer Lederrüstung erreichbar ist.
71	chn1icon	Kettenrüstung	400	Armor	Chain	8	0	6	1	Kettenrüstung	21	0	0	0	Die Kettenrüstung besteht aus kleinen, ineinander verhakten Metallringen. Dieser Anzug ist von schlechter Qualität: das verwendete Metall ist einfaches Eisen, es gibt nur zwei Schichten von Ringen, und der Anzug ist für seine Größe schwer und steif.
72	chn2icon	Stahl - Kettenrüstung	600	Armor	Chain	8	12	6	4	Kettenrüstung	21	0	0	0	Eine vorzügliche Kettenrüstung. Das für diesen Anzug verwendete Metall ist Stahl, und der frühere Besitzer hat ihn sorgsam eingeölt und rostfrei gehalten.
73	chn3icon	Edle Kettenrüstung	900	Armor	Chain	8	20	6	6	Kettenrüstung	21	0	0	0	Kettenrüstung eines Kavallerieoffiziers unter der Herrschaft von Taledon V von Karigor, Hohepriester und Konduit der Kirche der Sonne, circa 870 n. St. Die Rüstung besteht aus hochqualitativen Ketten, die verzaubert sind, um leichter und stärker zu sein.
74	chn4icon	Königsrüstung	1300	Armor	Chain	8	28	6	8	Kettenrüstung	21	0	0	0	Stark verzauberte Rüstung, die vom Adel und den Mitgliedern des Königshauses der Elfen während der Holzkriege des siebten und achten Jahrhunderts getragen wurde.
75	chn5icon	Majestätsrüstung	1800	Armor	Chain	8	40	6	10	Kettenrüstung	21	0	0	0	Eine sehr seltene Rüstung, die von den Himmlischen Schmieden von Gouverneur Padish vor der Stille produziert und früher nur vom Gouverneur und seinen höchsten Offizieren getragen wurde.Sie ist leichter, stärker und geschmeidiger als alle anderen.
76	pl1icon	Panzerrüstung	1000	Armor	Plate	30	0	9	1	Panzerrüstung	22	0	0	0	Die aus ineinandergreifenden Platten und Gelenken zusammengesetzte Panzerrüstung ist die beste nicht verzauberte Rüstung. Sie ist jedoch schwer und verlangsamt die Bewegungen des Trägers. Dieser spezielle Anzug hat eine durchschnittliche Qualität.
77	pl2icon	Stahlpanzer	1400	Armor	Plate	30	12	9	6	Panzerrüstung	22	0	0	0	Sauber zusammengesetzte Stahlplatten bilden einen insgesamt exzellenten Rüstungsanzug. Eine Gießereiprägung unter dem rechten Arm beweist, daß er erst vor kurzem in Kelebrim geschmiedet wurde.
78	pl3icon	Goldpanzer	2700	Armor	Plate	30	42	9	12	Panzerrüstung	22	0	0	0	Diese Panzerrüstung wurde in der Gießerei Mekorig 18 Jahre nach dem Tode von Mekorig dem Blinden geschmiedet. Sie ist ein Meisterwerk und fast so angenehm zu tragen wie normale Kleidung, und sie ist wahrscheinlich die beste Rüstung, die es auf der Welt gibt.
79	lshield1	Drachenschild	200	Shield	Shield	18	0	4	1	Großes Schild	23	0	548	115	Dieses einfache Schild besteht aus Tierhäuten, die über einen Holzrahmen gespannt sind. Es bietet grundlegenden Schutz gegen physische Attacken.
80	lshield2	Turmschild	300	Shield	Shield	18	4	4	3	Großes Schild	23	0	544	123	Die Einfachheit des Wappenentwurfs auf diesem Schild führt schnell zu der Annahme, daß es entweder von Barbaren oder Goblins geschaffen wurde. Es ist aus robusten Materialien gemacht und wird im Kampf ordentlich durchhalten.
81	lshield3	Burgschild	400	Shield	Shield	18	9	4	5	Großes Schild	23	0	542	129	Dieses Schild besteht aus Holz, das mit Eisen eingefaßt ist. Es ist recht schwer für seine Größe, aber es bringt Dich sicher durch die Schlacht - solange Du nicht hinterrücks überrumpelt wirst.
82	lshield4	Himmelsschild	500	Shield	Shield	18	18	4	7	Großes Schild	24	0	537	114	Dieses Schild ist aus Leichtmetall und trägt eine Gießereiprägung der Waffenkammer von Kelebrim. Das Material ist trotz seines geringen Gewichts sehr stark, und das Metall ist beinahe nahtlos verschweißt.
83	lshield5	Olympiaschild	800	Shield	Shield	18	30	4	9	Großes Schild	24	0	535	131	Diese Schilde wurden im Phynaxianischen Imperium während seines kurzen Aufstiegs zur Macht über die Steppen des südlichen Erathia (790-864) geschmiedet. Sie bestehen aus Stalt, einem Metall das sich gut für Verzauberungen eignet und maßgeblichen Anteil an der Macht des Phynaxianischen Militärs hat. Leider konnte nur wenig dieses Metalls gefördert werden. Phynaxia fiel 864 n. St. bei einer Offensive der Elfen.
84	sshield1	Holzschild	100	Shield	Shield	16	0	4	1	Kleines Schild	24	12	559	149	Ein kleines Holzschild, das hauptsächlich zum Schutz gegen Pfeile entworfen wurde.
85	sshield2	Bronzeschild	200	Shield	Shield	16	4	4	2	Kleines Schild	24	12	559	149	Bronzeschilde sind leichter als Eisenschilde gleicher Größe, sie sind aber nicht annähernd so stark.
86	sshield3	Stahlschild	300	Shield	Shield	16	9	4	3	Kleines Schild	24	12	556	145	Da dieses Schild aus gehärtetem Stahl besteht, sollte es allen außer den ungewöhnlichst verzauberten Waffen widerstehen.
87	sshield4	Geistesschild	450	Shield	Shield	16	18	4	4	Kleines Schild	24	12	552	134	Geistesschilde sind gewöhnliche Stahlschilde. Sie werden jedoch in einem rituellen Verfahren verzaubert, das mächtige, wenn auch unvorhersehbare Ergebnisse hat. Das Verfahren ist zeitintensiv und verlangt die ungeteilte Aufmerksamkeit von mindestens drei Meistern der Geistesmagie.
88	sshield5	Astralschild	750	Shield	Shield	16	30	4	5	Kleines Schild	24	12	562	142	Diese seltenen Schilde wurden zu hunderten von den Himmlischen Schmieden ausgestoßen, um rebellische Streitkräfte in einer schier endlosen Reihe von Scharmützeln zu bekämpfen und Überfälle zu unterstützen, die die Streitkräfte des Gouverneurs im ersten Jahrhundert n. St. auf die Probe stellten (und sie schließlich überwältigten). Wie jede Ausrüstung dieser Art sind sie leicht, hart und in der Lage, die mächtigsten Verzauberungen aufzunehmen.
89	helm1	Helm	60	Helm	Misc	2	0	6	1	Helm	25	6	539	45	Ein gewöhnlicher Helm. Dieser hier besteht aus einer Tierhaut, die über Holz gespannt ist. In seinem Inneren gibt es kein Fell oder Polster, so daß Dein Kopf nach einem kräftigen Schlag wie eine Glocke klingeln wird.
90	hlm2icon	Stahlhelm	260	Helm	Misc	2	4	6	4	Helm	25	6	536	42	Dieses ist ein gewöhnlicher Stahlhelm. Der Entwurf ist gut und wird seit Jahrhunderten von Kriegern auf der ganzen Welt verwendet. Schätzungen zufolge ist dieser Helm 50 bis 75 Jahre alt.
91	hlm3icon	Beschützerhelm	460	Helm	Misc	2	6	6	6	Helm	25	6	526	38	Dieser Helmentwurf wurde von den Elfen von Erathia schon vor der Stille benutzt. Er ist aus Silber und Stahl zusammengesetzt und sehr stark.
92	hlm4icon	Verteidigerhelm	660	Helm	Misc	2	8	6	8	Helm	25	6	530	35	Diese Helme werden zur Hälfte aus dem Schädel der Mogred-Bestie in Karigor gemacht und geraten jedes Jahr immer mehr aus der Mode, da die Mogreds kurz vor der Ausrottung sind. Die roten Streifen um die Hörner des Helms sind sehr empfänglich für Verzauberungen.
93	hlm5icon	Engelhelm	860	Helm	Misc	2	10	6	10	Helm	25	6	535	40	"Diese Helme sind extrem selten, und niemand kennt ihren Ursprung. Es ist ziemlich sicher, daß sie aus der Zeit der Wunder stammen. Eine extrem feine Inschrift im Innern des Helms besagt ""Bestandteil des Schiffsinventars, VARN MCMIV""."
94	hat1a	Stoffhut	20	Helm	Misc	0	0	2	1	Hut	26	11	542	40	Ein gewöhnlicher Hut. Das Material ist eine Mischung aus Baumwolle und Wolle. Die Feder stammt von einer Ente.
95	hat2a	Flanellhut	100	Helm	Misc	0	0	2	2	Hut	26	11	515	44	Diese Hüte sind ziemlich vornehm und stilvoll. Sie sind sehr in Mode in den gehobenen Klassen und bei denen, die diese nachahmen wollen.
96	hat3a	Zauberkappe	200	Helm	Misc	0	0	2	3	Hut	26	11	529	14	"Bitte nicht lachen - auch wenn sie dämlich, ja sogar lächerlich erscheinen, verbringen viele Hexer ziemlich viel Zeit damit, Hüte wie diesen mit mächtiger Magie zu verzaubern. Die konische Form und die ""Augen"" auf der Vorderseite des Hutes sind eigenartigerweise attraktiv für Kreaturen der spirituellen Welt. Diese Eigenschaft macht es einfacher, den Hut zu verzaubern."
97	crown1a	Krone	250	Helm	Misc	0	0	4	12	Krone	27	0	538	54	Dies ist eine armselig verarbeitete Krone von der Sorte, die Goblins oder billige Schauspieler benutzen, um das Königshaus zu verspotten. Sie bietet keinen echten Kopfschutz, obwohl sie kleinere Verzauberungen tragen kann.
