															
															
#	Fire Spells		Res	Short Name	A	X	M	Spell Description	Normal	Expert	Master				
14	3	Schutz vor Elektrizität	none	SchzEle	3	3	3	Steigert die Resistenz all Deiner Charaktere gegen Luft um den Betrag, der Deiner Luftmagie-Fähigkeit entspricht.	10 Punkte Resistenz	20 Punkte Resistenz 	40 Punkte Resistenz					
15	4	Funkenflug	Elec	Funkflug	4	4	4	Funkenflug feuert kleine Blitzkugeln in die Welt, die solange umherspringen, bis sie etwas treffen oder sich auflösen. Man kann schwer sagen, wohin sie fliegen werden, so daß dieser Zauberspruch am besten in einem Raum eingesetzt wird, der voller kleiner Monster ist. Jeder Funkenflug richtet 1 Schadenpunkt plus 0-1 pro Fähigkeitspunkt in Luftmagie an.	Mittlere Erholungsrate, 3 Funken	Schnellere Erholungsrate, 5 Funken	Schnellste Erholungsrate, 7 Funken				
16	5	Federfall	none	Federfall	5	5	5	Federfall verhindert, daß sich Deine Charaktere verletzen, wenn sie aus mehr als 3 Metern Höhe fallen, indem ihre Fallgeschwindigkeit reduziert wird. Federfall wirkt auf die ganze Gruppe und hat eine Dauer, die von Deiner Luftmagie-Fähigkeit abhängt.	Dauert 5 Minuten pro Fähigkeitspunkt	Dauert 10 Minuten pro Fähigkeitspunkt	Dauert 1 Stunde pro Fähigkeitspunkt				
17	6	Schild	none	Schild	8	8	8	Halbiert den Schaden durch Fernangriffe (wie Felsen und Pfeile), indem die Geschosse kurz vor dem Treffer verlangsamt werden.	Dauert 1 Stunde + 5 Minuten pro Fähigkeitspunkt	Zauberspruch betrifft ganze Gruppe	Dauert 1 Stunde + 15 Minuten pro Fähigkeitspunkt				
18	7	Blitzstrahl	Elec	Blitzstr	10	10	10	Blitzstrahl, der Liebling der Hexer, entlädt Elektrizität aus der Hand des Aussprechenden auf ein einzelnes Ziel. Er trifft immer und richtet 8 plus 1-8 Schadenpunkte pro Fähigkeitspunkt in Luftmagie an.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
19	8	Sprung	none	Sprung	15	15	15	Sprung schießt Deine Gruppe in die Luft, worauf sie 20 Meter entfernt vom Startpunkt wieder landet. Deiner Gruppe stößt kein Sturzschaden zu.	Langsame Erholungsrate (schneller für höhere Ränge)	Schnellere Erholungsrate	Schnellste Erholungsrate				
20	9	Implosion	Phys	Implos	20	20	20	Implosion ist ein boshafter Zauberspruch, der die Luft um ein einzelnes Ziel vernichtet, wodurch mit einem Donnerschlag die umgebende Luft nachströmt. 12 Schadenpunkte plus 1-12 pro Fähigkeitspunkt in Luftmagie.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
21	10	Fliegen	none	Fliegen	25	25	25	Verschafft Deinen Charakteren die Kraft zu fliegen! Dieser Zauberspruch ist sehr teuer und funktioniert nur im Freien, aber er ist sehr nützlich. Der Zauberspruch verbraucht einen Zauberpunkt pro fünf Minuten, die er aktiv ist (d.h. solange Du in der Luft bist).	Dauert 5 Minuten pro Fähigkeitspunkt	Dauert 10 Minuten pro Fähigkeitspunkt	Dauert 1 Stunde pro Fähigkeitspunkt				
22	11	Sternenfeuer	Elec	Sternfr	30	30	30	Ruft Sterne aus dem Himmel herbei, die Deine Gegner rammen und verbrennen. Experten- und Meisterrang dieses Zauberspruchs steigern die Anzahl der Sterne, die gerufen werden und beschleunigen die Erholung. Der Schaden jedes Sterns ist 20 Punkte plus 1 pro Fähigkeitspunkt in Luftmagie. Sternenfeuer funktioniert nur im Freien. Halte Dich von der Druckwelle fern... 	Langsame Erholungsrate und 8 Sterne	Schnellere Erholungsrate und 12 Sterne	Schnellste Erholungsrate und 16 Sterne				
	Water Spells		Res					Spell Description							
23	1	Erwachen	none	Erwach	1	1	1	Weckt Deine Charaktere automatisch aus normalem Schlaf auf, sowie aus magischem Schlaf, wenn sie nicht zu lange im Schlafzustand waren. Je höher Deine Fähigkeiten in Wassermagie sind, desto länger kann der Schlafzustand sein, bevor der Zauberspruch wirkungslos sein wird.	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt geschlafen	Nur dann, wenn weniger als 1 Stunde pro Fähigkeitspunkt geschlafen	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt geschlafen				
24	2	Kältestrahl	Cold	Kältestr	2	1	0	Zielt auf ein einzelnes Monster mit einem sofortigen Feld extremer Kälte. Er richtet 2 plus 1-2 pro Fähigkeitspunkt in Wassermagie an, und trifft immer. Je höher Deine Fähigkeiten in Wassermagie sind, desto schneller erholst Du Dich vom Kältestrahl. Meister des Wassers können diesen Zauberspruch ohne Kosten anwenden.	Aussprechen kostet 2 Zauberpunkte	Aussprechen kostet 1 Zauberpunkt. Schnellere Erholungsrate	Aussprechen kostet 0 Zauberpunkte. Schnellste Erholungsrate				
25	3	Schutz vor Kälte	none	SchzKäl	3	3	3	Steigert die Resistenz all Deiner Charaktere gegen Kälte um den Betrag, der Deiner Wassermagie-Fähigkeit entspricht. Dieser Zauberspruch dauert eine Stunde pro Fähigkeitspunkt in Wassermagie.	10 Punkte Resistenz	20 Punkte Resistenz 	40 Punkte Resistenz					
26	4	Giftnebel	Pois	Giftnebel	4	4	4	Sprüht Gift auf Monster, die sich direkt vor Deinen Charakteren befinden. Der Schaden ist niedrig, aber wenige Monster widerstehen dem Gift, so daß es meistens klappt. Jeder Schuß richtet 1 Schadenpunkt an plus 1 pro Fähigkeitspunkt in Wassermagie.	Mittlere Erholungsrate und 1 Schuß	Schnellere Erholungsrate und 3 Schüsse	Schnellste Erholungsrate und 5 Schüsse				
27	5	Wasserwandeln	none	Wasswn	5	5	5	Wasserwandeln ist nur im Freien anwendbar und läßt Deine Charaktere auf der Wasseroberfläche gehen, ohne zu versinken. Dieser Zauberspruch kann sehr nützlich sein, verbraucht aber alle 20 Minuten, die Du das Wasser berührst, einen Zauberpunkt.	Dauert 5 Minuten pro Fähigkeitspunkt	Dauert 10 Minuten pro Fähigkeitspunkt	Dauert 1 Stunde pro Fähigkeitspunkt				
28	6	Eisstrahl	Cold	Eisstrahl	8	8	8	Feuert einen einzelnen Eisblitz auf ein einzelnes Ziel ab. Er trifft immer und richtet 7 plus 1-7 Schadenpunkte pro Fähigkeitspunkt in Wassermagie an.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
29	7	Verzaubern	none	Verzaub	10	10	10	Ermöglicht es, einen normalen Gegenstand mit magischen Kräften zu verzaubern. Die Erfolgschance liegt bei 10% pro Fähigkeitspunkt in Wassermagie. Experten schaffen bessere Verzauberungen, und nur Meister können Waffen verzaubern.	Nur schwache Verzauberungen	Stärkere Verzauberungen	Erlaubt Verzauberungen von Waffen				
30	8	Säurestrahl	Pois	Säurestr	15	15	15	Säurestrahl spritzt einen Strahl extrem ätzender Säure auf ein einzelnes Opfer. Er trifft immer und richtet 10 Schadenpunkte plus 1-10 pro Fähigkeitspunkt an. Der große Vorteil dieses Zauberspruchs ist, daß wenige Monster resistent gegen Säure sind.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
31	9	Stadtportal	none	Stadtprtl	20	20	20	Stadtportal teleportiert die Gruppe zur zentralen Quelle der zuletzt besuchten Stadt. Stadtportal hat eine 10%ige Chance pro Fähigkeitspunkt in Wassermagie, wenn er angewendet wurde.	Nur im Freien	Auch in geschlossenen Räumen	Überall und Wahl des Zielorts				
32	10	Eisbombe	Cold	Eisbomb	25	25	25	Feuert einen Ball aus Eis in die Richtung, in die der Zaubernde schaut. Der Ball fliegt in 7 Eisstücke in alle Richtungen auseinander, außer in die des Zaubernden. Die Eisstücke prallen so lange ab, bis sie eine Kreatur treffen oder schmelzen. Jedes Eisstück richtet 6 Schadenpunkte plus 1-6 pro Fähigkeitspunkt in Wassermagie an.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
33	11	Leuchtfeuer	none	Leuchtfr	30	30	30	Leuchtfeuer läßt Dich eine Markierung an einen Ort setzen, zu dem Du Dich in der Zukunft zurückteleportieren lassen willst. Wie weit in die Zukunft, hängt von Deiner Fähigkeit und Deinem Rang in Wassermagie ab. Benutze diesen Zauberspruch, wann immer Du eine Markierung setzen willst, oder zu einer zurückkehren willst.	1 Leuchtfeuer, erlöscht nach 1 Stunde pro Fähigkeitspunkt	3 Leuchtfeuer, erlöschen nach 1 Tag pro Fähigkeitspunkt	5 Leuchtfeuer, erlöschen nach 1 Woche pro Fähigkeitspunkt				
	Earth Spells		Res					Spell Description							
34	1	Betäuben	Magic	Betäub	1	1	1	Trifft ein Monster mit magischer Gewalt, so daß es sich erst vom Betäuben-Zauberspruch erholen muß, bevor es etwas anderes tun kann. Betäuben schleudert Monster auch ein wenig zurück, wodurch Du eine Fluchtchance hast. Je höher Deine Fähigkeiten in Erdmagie sind, desto größer ist die Wirkung dieses Zauberspruchs.	Normale Wirkung	Stärkere Wirkung	Stärkste Wirkung				
35	2	Magischer Pfeil	Phys	MagPfeil	2	1	0	Feuert einen einzelnen magischen Pfeil ab. Im Gegensatz zu den meisten Zaubersprüchen ist dieser ungenau, da er die gleiche Trefferchance hat wie ein normaler Pfeil (wenn Du Erdmagie als Bonus hast). Auch anders als bei den meisten Zaubersprüchen ist, daß Magischer Pfeil umsonst ist, wenn Du Meister der Erdmagie bist. Der Pfeil richtet 2 plus 1-2 Schadenpunkte pro Fähigkeitspunkt in Erdmagie an.	Aussprechen kostet 2 Zauberpunkte	Aussprechen kostet 1 Zauberpunkt. Schnellere Erholungsrate	Aussprechen kostet 0 Zauberpunkte. Schnellste Erholungsrate				
36	3	Schutz vor Magie	none	SchzMag	3	3	3	Steigert die Resistenz all Deiner Charaktere gegen Magie um den Betrag, der Deiner Erdmagie-Fähigkeit entspricht.	10 Punkte Resistenz	20 Punkte Resistenz 	40 Punkte Resistenz				
37	4	Todesschwarm	Phys	Todschw	4	4	4	Ruft einen Schwarm beißender, stechender Insekten herbei, der ein einzelnes Ziel befällt. Der Schwarm richtet nur 4 Schadenpunkte plus 1-4 pro Fähigkeitspunkt in Erdmagie an, aber er trifft immer und der Schaden ist physisch, wodurch eine Resistenz gegen diesen Zauberspruch unwahrscheinlich ist.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
38	5	Steinhaut	none	Steinht	5	5	5	Steigert die Rüstungsklasse eines Charakters um 10 Punkte.	Dauert 1 Stunde + 5 Minuten pro Fähigkeitspunkt	Zauberspruch betrifft ganze Gruppe	Dauert 1 Stunde + 15 Minuten pro Fähigkeitspunkt. Rüstungsklasse wird um 15 Punkte gesteigert.				
39	6	Klinge	Phys	Klinge	8	8	8	Feuert eine rotierende, rasiermesserscharfe Metallklinge auf ein einzelnes Monster ab. Dieser Zauberspruch kann mißlingen, und der Schaden und die Trefferwahrscheinlichkeit hängen stark von der Erdmagie-Fähigkeit ab. Die Klingen richten 8 plus 1-8 Schadenpunkte pro Fähigkeitspunkt in Erdmagie an.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
40	7	Stein zu Fleisch	none	Stein-Fls	10	10	10	"Entfernt den Zustand der Versteinerung von einem Charakter, wenn rechtzeitig ausgesprochen. Je höher die Fähigkeit und der Rang in Erdmagie sind, desto länger kann der Zustand vorher angehalten haben, bis ""nichts mehr geht"". Danach ist der Besuch eines Tempels die einzige Möglichkeit außer Gottes Eingriff, den Zustand zu entfernen."	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt versteinert	Nur dann, wenn weniger als 1 Stunde pro Fähigkeitspunkt versteinert	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt versteinert				
41	8	Felsen-Attacke	Phys	Fels-Att	15	15	15	Wirft einen magischen Stein in die Welt, der explodiert, wenn er Kontakt mit einer Kreatur hat - oder nach einiger Zeit von selbst. Der Fels springt und rollt so lange umher, bis er zur Ruhe gekommen ist, also sei vorsichtig, ihm nicht in den Weg zu kommen. Die Explosion verursacht 5 plus 1-5 Schadenpunkte pro Fähigkeitspunkt in Erdmagie.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
42	9	Versteinern	Magic	Verstein	20	20	20	Verwandelt ein Ziel vorübergehend zu Stein. Diese Steinstatuen sind durch alle Arten von Angriffen nicht verwundbar.	Dauert 5 Minuten pro Fähigkeitspunkt	Dauert 10 Minuten pro Fähigkeitspunkt	Dauert 20 Minuten pro Fähigkeitspunkt				
43	10	Todesblüte	Phys	Todesblt	25	25	25	Feuert einen magischen Stein hoch in die Luft, der eine große und starke Explosion verursacht, wenn er aufschlägt. Der Schaden ist 100 Punkte plus 1-15 pro Fähigkeitspunkt in Erdmagie. Dieser Zauberspruch kann nur im Freien angewendet werden.	Mittlere Erholungsrate	Schnellere Erholungsrate, größerer Wirkungsradius	Schnellste Erholungsrate, größter Wirkungsradius				
44	11	Schwerezauber	Phys	Schwere	30	30	30	Steigert kurzfristig das Gewicht eines einzelnen Ziels enorm, wodurch innerer Schaden in Höhe von 8 plus 1-8 pro Fähigkeitspunkt in Erdmagie plus weitere 1% der momentanen Trefferpunkte des Monsters pro Fähigkeitspunkt in Erdmagie verursacht werden. Je größer sie sind, desto härter fallen sie.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
	Spirit Spells		Res					Spell Description							
45	1	Spiritueller Pfeil	Magic	SpirPfeil	1	1	0	Feuert einen Ektoplasmastrahl negativer spiritueller Energie auf ein einzelnes Ziel. Spiritueller Pfeil kann mißlingen, aber höhere Fähigkeit in Spiritueller Magie steigert die Trefferwahrscheinlichkeit. Der Pfeil verursacht 2 plus 1-2 Schadenpunkte pro Fähigkeitspunkt in spiritueller Magie.	Mittlere Erholungsrate	Schnellere Erholungsrate	Aussprechen kostet 0 Zauberpunkte				
46	2	Segen	none	Segen	2	2	2	Gesegnete Charaktere haben eine gesteigerte Wahrscheinlichkeit, Monster im direkten Kampf und mit Geschossen zu treffen. Der Trefferbonus eines Charakters wird um 5 Punkte gesteigert.	Dauert 1 Stunde + 5 Minuten pro Fähigkeitspunkt	Zauberspruch betrifft ganze Gruppe	Trefferbonus wird um 7 Punkte gesteigert. Dauert 1 Stunde + 15 Minuten pro Fähigkeitspunkt				
47	3	Heilende Hände	none	HeilHänd	3	3	3	Heilt einen einzelnen Charakter um 3-7 Trefferpunkte. Die Fähigkeit steigert die Erholungsrate dieses Zauberspruchs.	Heilt 3-7 Schadenpunkte	Heilt 5-9 Schadenpunkte	Heilt 7-11 Schadenpunkte				
48	4	Glückstag	none	Glückstg	4	4	4	Steigert vorübergehend das Attribut Glück eines einzelnen Charakters um 10 Punkte plus 2 pro Fähigkeitspunkt in Spiritueller Magie.	Steigert Glück um 10 Punkte plus 2 pro Fähigkeitspunkt	Steigert Glück um 10 Punkte plus 3 pro Fähigkeitspunkt	Zauberspruch betrifft ganze Gruppe				
49	5	Fluch entfernen	none	FlchEntf	5	5	5	"Entfernt den Zustand des Verfluchtseins von einem Charakter, wenn rechtzeitig ausgesprochen. Je höher die Fähigkeit und der Rang in Spiritueller Magie sind, desto länger kann der Zustand vorher angehalten haben, bis ""nichts mehr geht"". Danach ist der Besuch eines Tempels die einzige Möglichkeit außer Gottes Eingriff, den Zustand zu entfernen."	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt verflucht	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt verflucht	Nur dann, wenn weniger als 1 Woche pro Fähigkeitspunkt verflucht				
50	6	Schutzengel	none	Schzeng	8	8	8	Schließt einen Pakt mit den Höheren Mächten, um Deine Charaktere auferstehen zu lassen und sie zu dem Tempel zurückkehren zu lassen, den sie vor ihrem Tod als letzten besucht haben. Der Preis dieses Dienstes ist die Hälfte des Goldes, das die Charaktere zum Todeszeitpunkt bei sich tragen. Schutzengel dauert 1 Stunde pro Fähigkeitspunkt in Spiritueller Magie.	Charaktere werden um jeweils 1 Trefferpunkt wiederhergestellt	Charaktere werden mit der Hälfte ihrer Trefferpunkte wiederhergestellt	Charaktere werden mit allen ihren Trefferpunkten wiederhergestellt				
51	7	Heldentum	none	Heldtum	10	10	10	Heldentum steigert den Schaden, den ein Charakter bei einem erfolgreichen Angriff anrichtet, um 5 Punkte.	Dauert 1 Stunde + 5 Minuten pro Fähigkeitspunkt	Zauberspruch betrifft ganze Gruppe	Schaden wird um 7 Punkte gesteigert. Dauert 1 Stunde + 15 Minuten pro Fähigkeitspunkt				
52	8	Untote verjagen	Magic	UntoVerj	15	15	15	Schlägt solange alle untoten Monster in die Flucht, die der Aussprechende sehen kann, bis die Wirkung zu Ende ist. Dieser Zauberspruch dauert 3 Minuten plus 3 Minuten pro Fähigkeitspunkt in Spiritueller Magie.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
53	9	Tote auferwecken	none	ToteAufw	20	20	20	"Läßt einen Charakter von den Toten auferstehen, wenn rechtzeitig ausgesprochen. Je höher die Fähigkeit und der Rang in Spiritueller Magie sind, desto länger kann der Charakter vorher tot gewesen sein, bis ""nichts mehr geht"". Danach ist der Besuch eines Tempels die einzige Möglichkeit außer Gottes Eingriff, den Charakter wieder auferstehen zu lassen. Das Aussprechen dieses Zauberspruchs hinterläßt Deinen Charakter im geschwächten Zustand."	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt tot	Nur dann, wenn weniger als 1 Stunde pro Fähigkeitspunkt tot	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt tot				
54	10	Geteiltes Leben	none	GetLebn	25	25	25	Geteiltes Leben kombiniert die Lebenskraft Deiner Charaktere und verteilt sie so gut wie möglich unter ihnen neu. Alle momentanen Trefferpunkte werden zusammengerechnet und 1 Extrapunkt  pro Fähigkeitspunkt in Spiritueller Magie wird dieser Summe addiert. Dann werden die Punkte zurück auf die Charaktere verteilt, wobei ein einzelner Charakter nicht mehr Punkte als seine maximalen Trefferpunkte haben kann.	Addiert zum Pool 1 Trefferpunkt pro Fähigkeitspunkt 	Addiert zum Pool 2 Trefferpunkte pro Fähigkeitspunkt 	Addiert zum Pool 3 Trefferpunkte pro Fähigkeitspunkt 				
55	11	Auferstehung	none	Auferstg	30	30	30	"Läßt einen ausgerotteten Charakter (d.h. sein Körper ist vernichtet) auferstehen, wenn rechtzeitig ausgesprochen. Je höher die Fähigkeit und der Rang in Spiritueller Magie sind, desto länger kann der Charakter dieser Zustand vorher angehalten haben, bis ""nichts mehr geht"". Danach ist der Besuch eines Tempels die einzige Möglichkeit, den Charakter wieder auferstehen zu lassen. Das Aussprechen dieses Zauberspruchs hinterläßt Deinen Charakter in geschwächtem Zustand."	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt ausgerottet	Nur dann, wenn weniger als 1 Stunde pro Fähigkeitspunkt ausgerottet	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt ausgerottet				
	Mind Spells		Res					Spell Description							
56	1	Meditation	none	Meditatn	1	1	1	Steigert vorübergehend die Attribute Intellekt und Charisma eines einzelnen Charakters um 10 Punkte plus 2 pro Fähigkeitspunkt in Geistesmagie.	Steigert Intellekt und Charisma um 10 Punkte plus 2 pro Fähigkeitspunkt	Steigert Intellekt und Charisma um 10 Punkte plus 3 pro Fähigkeitspunkt	Zauberspruch betrifft ganze Gruppe				
57	2	Furcht verjagen	none	FchtVerj	2	2	2	"Entfernt den Zustand des Ängstlichseins von einem Charakter, wenn rechtzeitig ausgesprochen. Je höher die Fähigkeit und der Rang in Geistesmagie sind, desto länger kann der Zustand vorher angehalten haben, bis ""nichts mehr geht"". Danach ist der Besuch eines Tempels die einzige Möglichkeit außer Gottes Eingriff, den Zustand zu entfernen."	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt ängstlich	Nur dann, wenn weniger als 1 Stunde pro Fähigkeitspunkt ängstlich	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt ängstlich				
58	3	Nervenschock	Magic	Nrvschck	3	3	3	Feuert einen Blitz schädlicher mentaler Gewalt auf das Nervensystem eines einzelnen Ziels ab. Nervenschock richtet 3 Schadenpunkte plus 1-3 pro Fähigkeitspunkt in Geistesmagie an.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
59	4	Präzision	none	Präzisn	4	4	4	Steigert vorübergehend das Attribut Geschick eines einzelnen Charakters um 10 Punkte plus 2 pro Fähigkeitspunkt in Geistesmagie.	Steigert Geschick um 10 Punkte plus 2 pro Fähigkeitspunkt	Steigert Geschick um 10 Punkte plus 3 pro Fähigkeitspunkt	Zauberspruch betrifft ganze Gruppe				
60	5	Lähmung heilen	none	LämHeil	5	5	5	"Heilt Lähmung, wenn rechtzeitig ausgesprochen. Je höher die Fähigkeit und der Rang in Geistesmagie sind, desto länger kann die Lähmung des Charakters vorher angehalten haben, bis ""nichts mehr geht"". Danach ist der Besuch eines Tempels die einzige Möglichkeit außer Gottes Eingriff, den Zustand zu entfernen."	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt gelähmt	Nur dann, wenn weniger als 1 Stunde pro Fähigkeitspunkt gelähmt	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt gelähmt				
61	6	Charme	Magic	Charme	8	8	8	Beruhigt eine anvisierte, einzelne Kreatur und beseitigt alle feindlichen Gefühle, die sie gegen Deine Charaktere hegt. Wenn dieser Kreatur Schaden zugefügt wird, wird sie sofort wieder feindlich reagieren.	Dauert 3 Minuten pro Fähigkeitspunkt	Dauert 6 Minuten pro Fähigkeitspunkt	Dauert 12 Minuten pro Fähigkeitspunkt				
62	7	Massenfurcht	Magic	MsFrcht	10	10	10	Alle Kreaturen im Sichtfeld des Zaubernden fürchten ihn und fliehen. Wenn einer Kreatur Schaden zugefügt wird, während sie unter dem Einfluß des Zauberspruchs steht, wird dieser gebrochen. Massenfurcht funktioniert nicht bei Untoten. Die Dauer von Massenfurcht ist 3 Minuten pro Fähigkeitspunkt in Geistesmagie.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
