Text Number From NPC Events.Doc		Notes
267	Rexella	Location of Blaster Master Teacher
268	Bronwyn Meck	Location of Shield Master Teacher
269	Arlen Sailor	Location of Leather Master Teacher
270	David Feather	Location of Chain Master Teacher
271	Forrest Suthers	Location of Plate Master Teacher
272	Jezebel	Location of Fire Master Teacher
273	Caao Salem	Location of Air Master Teacher
274	Harper Collins	Location of Water Master Teacher
275	Revee Botania	Location of Earth Master Teacher
276	Bishop Inquisitorio	Location of Spirit Master Teacher
277	Thane Roper	Location of Mind Master Teacher
278	Gilbert Hammer	Location of Body Master Teacher
279	Ki Lo Nee	Location of Light Master Teacher
280	Su Lang Manchu	Location of Dark Master Teacher
281	Hans Gifford	Location of Identify Master Teacher
282	Will Ottoman	Location of Merchant Master Teacher
283	Ryan Treacle	Location of Repair Master Teacher
284	Jason Traveler	Location of Body Building Master Teacher
285	Norio Ariganaka	Location of Meditation Master Teacher
286	Macro Caligula	Location of Perception Master Teacher
287	Jacques Kohl	Location of Diplomacy Master Teacher
288	Gabe Lester	Location of Disarm Master Teacher
289	John Tuck	Location of Learning Master Teacher
290	Suchauftrag	
291	Suchauftrag	
292	Suchauftrag	
293	Suchauftrag	
294	Silberhelme	
295	Silberhelme	
296	Suchauftrag	
297	Suchauftrag	
298	Ordensbruderschaft von Silver	
299	Melody	
300	Ankh	
301	Snergles Schlüssel	
302	Vesteckte Passage	
303	Suchauftrag
304	Suchauftrag
305	Suchauftrag
306	Suchauftrag
307	Put Text Here
308	Suchauftrag
309	Suchauftrag
310	Suchauftrag
311	Suchauftrag
312	Kobraeier
313	Suchauftrag
314	Suchauftrag
315	Suchauftrag
316	Suchauftrag
317	Suchauftrag
318	Suchauftrag
319	Grüße
320	Grüße
321	Blackshire
322	Suchauftrag
323	Suchauftrag
324	Suchauftrag
325	Suchauftrag
326	Schattengilde
327	Neu Sorpigal
328	Suchauftrag
329	Suchauftrag
330	Grüße
331	Suchauftrag
332	Suchauftrag
333	Flucht
334	Suchauftrag
335	Suchauftrag
336	Grüße
337	Grüße
338	Werwölfe
339	Perle der Reinheit
340	Suchauftrag
341	Suchauftrag
342	Perle der Reinheit
343	Put Text Here
344	Put Text Here
345	Put Text Here
346	Put Text Here
347	Menschen
348	Grüße
349	Ratschlag
350	Ungewöhnliche Aufträge
351	Suchauftrag
352	Suchauftrag
353	Archibald
354	Suchauftrag
355	Suchauftrag
356	Suchauftrag
357	Suchauftrag
358	Diener
359	Kreatur
360	Suchauftrag
361	Put Text Here
362	Ankh
363	Ankh
364	Ankh
365	Zeremonie der Sonne
366	Zeremonie des Mondes
367	Put Text Here
368	Put Text Here
369	Put Text Here
370	Put Text Here
371	Put Text Here
372	Put Text Here
373	Put Text Here
374	Put Text Here
375	Zutritt zum Orakel
376	Zutritt zum Orakel
377	Zutritt zum Orakel
378	Zutritt zum Orakel
379	Zutritt zum Orakel
380	Zutritt zum Orakel
381	Mitgliedschaft in der Gilde der Elemente
382	Mitgliedschaft in der Gilde des Selbst
383	Mitgliedschaft im Seeräuberlager
384	Mitgliedschaft beim Sicherheitsdienst
385	Mitgliedschaft in der Schmugglergilde
386	Mitgliedschaft bei der Klingenspitze
387	Mitgliedschaft bei der Duellantenecke
388	Mitgliedschaft bei Berserkers Zorn
389	Mitgliedschaft in der Gilde der Luft
390	Mitgliedschaft in der Gilde der Erde
391	Mitgliedschaft in der Gilde des Feuers
392	Mitgliedschaft in der Gilde des Wassers
393	Mitgliedschaft in der Gilde des Körpers
394	Mitgliedschaft in der Gilde des Geistes
395	Mitgliedschaft in der Gilde des Spirituellen
396	Mitgliedschaft in der Gilde des Lichts
397	Mitgliedschaft in der Gilde des Schattens
398	Suchauftrag
399	Kopfgeldjagd
400	Arena - Auszeichnung erwerben
401	Gruppe heilen
402	Nahrung herstellen
403	Zauberspruch Fliegen aussprechen
404	Zauberspruch Wasserwandeln aussprechen
405	Zauberspruch Stadtportal aussprechen
406	Zauberspruch Segen aussprechen
407	Zauberspruch Heldentum aussprechen
408	Kein Gewinn
409	
410	Leeres Faß
411	Faß mit roter Flüssigkeit
412	Faß mit gelber Flüssigkeit
413	Faß mit blauer Flüssigkeit
414	Faß mit orangefarbener Flüssigkeit
415	Faß mit grüner Flüssigkeit
416	Faß mit lilafarbener Flüssigkeit
417	Faß mit weißer Flüssigkeit
418	Leerer Kessel
419	Dampfendes Gebräu
420	Frostiges Gebräu
421	Schockierendes Gebräu
422	Schädliches Gebräu
423	Magisches Gebräu
424	Kochtopf
425	Kochtopf
426	Kochtopf
427	Kochtopf
428	Kochtopf
429	Mehlsack
430	Mehlsack
431	Große Tasche
432	Große Tasche
433	Große Tasche
434	Große Tasche
435	Beutel voll Gold
436	Müllhaufen
437	Müllhaufen
438	Schädelhaufen
439	Schädelhaufen der Schwäche
440	Schädelhaufen der Flüche
441	Schädelhaufen des Irrsinns
442	Schädelhaufen des Todes
443	Eimer
444	Eimer
445	Eimer
446	Eimer
447	Kristalle
448	Kristalle
449	Kristalle
450	Kristalle
451	Kristalle
452	Kristalle
453	Kristalle
454	Kristalle
455	Kristalle
456	Kristalle
457	Kristalle
458	
459	
460	
461	
462	
463
464
465
466
467
468
469
470
471
472
473
474
475
476
477
478
479
480
481
482
483
484
485
486
487
488
489
490
491
492
493
494
495		
496		
497		
498		
499		
500		
501	Mitgliedschaft in der Gilde der Elemente	I do not believe these topics are currently being used.
502	Mitgliedschaft in der Gilde des Selbst	I do not believe these topics are currently being used.
503	Mitgliedschaft im Seeräuberlager	I do not believe these topics are currently being used.
504	Mitgliedschaft beim Sicherheitsdienst	I do not believe these topics are currently being used.
505	Mitgliedschaft in der Schmugglergilde	I do not believe these topics are currently being used.
506	Mitgliedschaft in der Klingenspitze	I do not believe these topics are currently being used.
507	Mitgliedschaft in der Duellantenecke	I do not believe these topics are currently being used.
508	Mitgliedschaft bei Berserkers Zorn	I do not believe these topics are currently being used.
509	Mitgliedschaft in der Gilde der Luft	I do not believe these topics are currently being used.
510	Mitgliedschaft in der Gilde der Erde	I do not believe these topics are currently being used.
511	Mitgliedschaft in der Gilde des Feuers	I do not believe these topics are currently being used.
512	Mitgliedschaft in der Gilde des Wassers	I do not believe these topics are currently being used.
513	Mitgliedschaft in der Gilde des Körpers	I do not believe these topics are currently being used.
514	Mitgliedschaft in der Gilde des Geistes	I do not believe these topics are currently being used.
515	Mitgliedschaft in der Gilde des Spirituellen	I do not believe these topics are currently being used.
516	Mitgliedschaft in der Gilde des Lichts	I do not believe these topics are currently being used.
517	Mitgliedschaft in der Gilde des Schattens	I do not believe these topics are currently being used.
518		
519		
520		
521		
522		
523		
524		
525		
