Regional News			
#	Map	Topic	News Text
21	40	Neu Sorpigal	Unsere Stadt wurde vor Jahrhunderten als letzte große Stadt in Enroth gegründet. Historisch gesehen war sie der Ort, von wo die Kolonialschiffe in den Rest der Welt aufgebrochen sind.
22	40	Obstbäume	Die Früchte der Bäume in den Obstgärten unserer Stadt sind sehr schmackhaft. Du solltest sie einmal probieren!
23	40	Inseln	Hüte Dich vor den Inseln direkt vor unserer nördlichen Küste. Im Meer leben gefährliche Monster, und die Inseln selbst sind auch nicht besonders einladend.
24	40	Regnanische Piraten	Es ist Jahrzehnte her, seit wir zum letzten Mal von regnanischen Piraten angegriffen wurden. Aber ich denke, jetzt da der König verschwunden ist und all das, daß es bald wieder Zeit wird für einen erneuten Angriff.
25	40	Seeräuberlager	Die Seeräuberlager in Neu Sorpigal und Mist können Dir die Fähigkeiten Dolch, Handeln, Erkennen, 6. Sinn und Fallen entschärfen beibringen.
26	40	Sicherheitsdienst	Die Diebesgilde Sicherheitsdienst in Silver Cove und White Cap kann Dir die Fähigkeiten Dolch, Handeln, Erkennen, 6. Sinn und Fallen entschärfen beibringen.
27	40	Schmugglergilde	Blackshire und Freehaven sind die Heimat der Schmugglergilde. Sie können Dir die Fähigkeiten Dolch, Handeln, Erkennen, 6. Sinn und Fallen entschärfen beibringen.
28	40	Klingenspitze	Schwert, Axt, Speer, Stab und Leder werden in der Söldnergilde Klingenspitze in White Cap und Neu Sorpigal gelehrt.
29	40	Duellantenecke	Die Söldnergilde Duellantenecke lehrt Keule, Bogen, Kette, Schild und Kondition.
30	40	Berserkers Zorn	Die Söldnergilde Berserkers Zorn in Burg Ironfist kann Dir die Fähigkeiten Bogen, Schild, Kette, Panzerrüstung und Reparatur beibringen.
31	39	Silberhelme	Die Ordensbruderschaft von Silver hat kürzlich eine Festung südlich von Mist errichtet. Sie waren eigentlich immer nette Leute, aber jetzt sind sie so darauf erpicht, alles Böse zu vernichten, daß sie alles zerstören, was nicht perfekt ist. Und das ist praktisch alles.
32	39	Steuern	Ich liebe es hier unten zu leben - Lord Newton vergißt immer Steuern zu erheben.
33	39	Schmugglerbucht	Die Inseln in der Schmugglerbucht sind die Heimat einiger Kannibalenstämme. Leute, die die Inseln besuchen, kehren nicht zurück.
34	39	Magische Quelle	Die magische Quelle soll südlich der Schmugglerbucht liegen, aber nicht viele haben sie je gefunden.
35	39	Gharik's Schmiede	Auf den Inseln südlich von Mist ist die Schmiede von Gharik, einem Magier und Weggefährten Archibalds. Dieser Ort wimmelt von Elementwesen und Gargoyles - niemand geht dort hin.
36	39	Burg Alamos	Auf einer Insel im Norden von Mist liegt Burg Alamos, eines der Zentren magischer Lehre in Enroth. Alle Arten von Beschwörungen und Alchemie werden dort praktiziert - ein gefährlicher Ort für den unbedarften Besucher.
37	39	Tempel	Einige Tempel auf den Dschungelinseln der Schmugglerbucht , so heißt es, sollen immer noch stehen. Ich frage mich, ob dort immer noch Gottesdienste abgehalten werden.
38	39	Wasserwesen	Wasserwesen machen die Gewässer nahe Mist unsicher. Als ob ihre mächtigen, physischen Attacken nicht genug wären, können sie Eisbolzen aus großer Entfernung abschießen.
39	39	Conan	Diese Axt ist der Traum jedes Helden. Sie ist verzaubert und soll Drachen und Dämonen erschlagen, was sie auch leidlich tut. Unglücklicherweise finden ihre Besitzer mehr solcher Kreaturen, als gut für sie wäre.
40	39	Erzmagier	Nicht viele Leute schaffen es vom Hexer zum Hexenmeister, und noch weniger werden zu Erzmagiern. Albert Newton muß das Unmögliche von denen verlangen, die befördert werden wollen.
41	39	Mist	Mist war ursprünglich als Zoll- und Handelsposten für den Handel mit den östlichen Inseln und Ländern gedacht. Aber Piraterie hat den Handel ernsthaft behindert, so daß wir nicht so wohlhabend sind, wie wir sein könnten.
42	39	Regna	"Ungefähr 200 Meilen östlich liegt die Regnanische Inselgruppe. Sie werden von Piraten bewohnt und von einem ""Imperator"" regiert, der von vorbeifahrenden Schiffen ""Steuern"" verlangt. Die Regnaner produzieren absolut nichts, außer Waffen und Söldnern."
43	39	Rezept	Ich hörte, Du kannst einen Trank des erhöhten Schutzes mischen, indem Du einen einen orangefarbenen mit einem grünen Trank mischt.
44	39	Melody Silver	Melody Silver wurde kürzlich von den Silberhelmen in das neue Verlies südlich von Mist geworfen. Die Silberhelme handeln wirklich seltsam in letzter Zeit, und es ist furchtbar, daß sie so einer netten jungen Frau so etwas antun. Jemand muß etwas dagegen unternehmen.
45	39	Freiwillige	Die Silberhelme wurden von John Silver gegründet, um Räuber und Mörder zu bekämpfen. Aber seit neuestem bedrängen sie die Bürger wegen der geringfügigsten Verstöße.
46	39	Handel	Den größten Teil des internationalen Handels führen wir mit dem Königreich Erathia, der Heimat unserer guten Königin Catherine. Erathia ist die Quelle der meisten unserer schönen Metalle und Steine.
47	39	Erinnerung	Jahrelanges Praktizieren der hohen Zauberkunst kann die Erinnerung eines Zauberers nachhaltig schädigen, und es gibt keine Heilung dafür. Und wenn es eine Heilung gäbe, das Opfer könnte sich vermutlich nicht daran erinnern sie anzuwenden.
48	39	Thronfolgekrieg	Albert Newton wurde in seine jetzige Position befördert, weil er König Roland während der Thronfolgekriege unterstützte, obwohl Archibald ihm mächtiges Zauberwissen angeboten hatte. Lord Newton muß ein guter Mann sein, wenn er abgelehnt hat, den bösen Archibald zu unterstützen, obwohl es so aussah, als würde Archibald gewinnen. 
49	39	Lord von Mist	Obwohl Lord Newton in diesen Tagen schwach und vergesslich erscheint, sollte man nicht vergessen, daß er einst einer der mächtigsten Zauberer des Landes war, vielleicht der mächtigste Zauberer überhaupt. Man sagt, Lord Newton habe mehr vergessen als Archibald jemals gewußt hat, abgesehen von der Schule der Schattenmagie natürlich.
50	39	Seeräuberlager	Die Seeräuberlager in Neu Sorpigal und Mist können Dir die Fähigkeiten Dolch, Handeln, Erkennen, 6. Sinn und Fallen entschärfen beibringen.
51	39	Sicherheitsdienst	Die Diebesgilde Sicherheitsdienst in Silver Cove und White Cap kann Dir die Fähigkeiten Dolch, Handeln, Erkennen, 6. Sinn und Fallen entschärfen beibringen.
52	39	Schmugglergilde	Blackshire und Freehaven sind die Heimat der Schmugglergilde. Sie können Dir die Fähigkeiten Dolch, Handeln, Erkennen, 6. Sinn und Fallen entschärfen beibringen.
53	39	Klingenspitze	Schwert, Axt, Speer, Stab und Leder werden in der Söldnergilde Klingenspitze in White Cap und Neu Sorpigal gelehrt.
54	39	Duellantenecke	Die Söldnergilde Duellantenecke lehrt Keule, Bogen, Kette, Schild und Kondition.
55	39	Berserkers Zorn	Die Söldnergilde Berserkers Zorn in Burg Ironfist kann Dir die Fähigkeiten Bogen, Schild, Kette, Panzerrüstung und Reparatur beibringen.
56	39	Calvin Black	Wenn Du geschickt genug bist, dann kann Calvin Black Deine Fähigkeiten mit dem Stab verbessern. Er lebt in einem Haus neben dem Koboldtöter.
57	39	Gonzalo Ramirez	Wenn Gonzalo nicht seine Zeit im Koboldtöter verbringt, dann unterrichtet er Studenten zu Experten am Speer.
58	39	Arthur O'Leery	Wenn Du ein Experte in der Lederrüstung werden willst, dann Unterrichtet Arthur direkt neben dem Seeräuberlager.
59	39	Bernard Jacobs	Bernard unterrichtet Studenten zu Experten der Reparatur direkt südlich der Duellantenecke.
60	38	Alamos	Die seltsamen Kreaturen, die hier zusammengerufen wurden, lassen die Tatsache vergessen, daß Alamos einst die Heimat der besten Alchemisten der Welt war. In der Burg muß es noch sehr mächtige Objekte geben.
61	38	Steinkreis	Auf einer der nördlichen Inseln  befindet sich ein Steinkreis. Ich glaube, er wurde für die Sonnenzeremonie benötigt, eine der notwendigen Zeremonien bei der Beförderung von Druiden.
62	38	Seeschlange	Die Gewässer vor Burg Alamos werden von Seeschlangen heimgesucht, die Schiffe mit ihrem eisigen Atem angreifen.
63	38	Percival	Percival ist die mächtigste Angriffswaffe. Mit seiner schnellen Feuerfolge und den gefährlichen Explosivattacken kann es große Zahlen von Feinden aus sicherer Entfernung auslöschen.
64	38	Agars Haustiere	Diese lästigen Geschöpfe sind immun gegen Magie, aber gegen einen guten Schwerthieb sind sie nicht immun.
65	37	Rocklin	Der alte Zwergenkönig ist jetzt im Exil, aber ich wette, daß er schon bald seinen Thron zurückfordern wird.
66	37	Eisenminen	Snergal hat den Schlüssel zu den innersten Kammern seiner Höhlen in den Eisenminen im Westen versteckt.
67	37	Nicolai	Wilbur Humphrey hat so viel Angst um Nicolai, daß der Prinz die Burg seit Monaten nicht verlassen durfte.
68	37	Corlagon	Nachdem Corlagon in den Thronfolgekriegen besiegt worden war, hat er sich in sein Anwesen im Sumpf der Verdammten zurückgezogen, um die Hexerei zu studieren. Gerüchte besagen, daß er zu einem Lich geworden ist, um die Rückkehr Archibalds noch lebendig zu erleben.
69	37	Schattengilde	Die Schattengilde, eine Gilde für Neureiche Diebe, hat vermutlich ein Versteck nahe Burg Ironfist. Ich bin sicher, daß Anthony Stone dieses Versteck gerne in Schutt und Asche sehen würde.
70	37	Orakel	Ich bin überrascht, daß Nicolai das Orakel nicht befragt hat - Ich bezweifele, daß Regent Humphrey alle Antworten kennt.
71	37	Catherine	Es gibt noch immer keine Neuigkeiten darüber, wann Catherine von ihrer Reise nach Erathia zurück kommt.
72	37	Jacht	König Rolands Jacht, die Queen Catherine, hat seit Jahren den Hafen nicht mehr verlassen. Ist sie überhaupt noch Seetüchtig?
73	37	Echsenmänner	Eidechsenmänner durchstreifen die sumpfigen Gegenden im Süden von Burg Ironfist. Sie benutzen Bögen, aber am mächtigsten sind die Zauberer, die Blitze verschießen, wenn sie sich bedroht fühlen.
74	37	Arena	Die Arena von Enroth kann mit den Ställen in Burg Ironfist erreicht werden. Du kannst dort gegen fast jede Art von Monstern antreten, wenn Dir an solchen Dingen liegt. Viele Leute würden gerne jeden Tag dorthin gehen, aber die Arena hat nur Sonntags geöffnet.
75	37	Valeria	Ein nützlicher Schild, der zielsicher Geschoßattacken abwehrt, und der dem Träger mehr Zielsicherheit in Gefechten verleiht.
76	37	Kreuzritter	Wilbur Humphrey vollzieht während Rolands Abwesenheit die Beförderung von Paladinen zu Kreuzrittern.
77	37	Lord Corlagon	Lord Corlagon war Archibalds größter Leutnant in den Thronfolgekriegen, und hat sich nach der Niederlage irgendwo in den Sümpfen zur Ruhe gesetzt. Es wird erzählt, daß er vor einigen Jahren das Ritual der endlosen Nacht durchgeführt hat und zu einem Lich geworden ist.
78	37	Wilbur Humphrey	Wilbur Humphrey ist der erste Paladin des Landes. Obwohl viele ihn für zu naiv und ungeeignet halten, in Rolands Abwesenheit zu regieren, sprechen die Leute von ihm als dem Furchtlosesten und Aufrichtigsten aller Fürsten. Ich persönlich denke, wir könnten einen besseren Mann für den Job finden.
79	37	Zirkus der Sonne	Der berühmte Zirkus der Sonne schlägt sein Lager normalerweise ein paar Tagesreisen nördlich an der Handelsstrasse, die nach Burg Ironfist führt, auf. Sie sind dort jedes Jahr im Dezember.
80	37	Wegelagerer	Wegelagerer haben sich hartnäckig an der Straße nahe der Burg festgesetzt. Der Regent muß mächtig verwirrt sein, wenn er diesen Banditen erlaubt, direkt vor seiner Nase unschuldige Reisende auszurauben.
81	37	Der Seher	Der Seher lebt in einer Hütte auf einem Berg nahe der Quelle des Flusses Silver, der aus den Stahlbergen an Burg Ironfist vorbei ins Meer fließt. Man sagt, daß er den Verlorenen hilft.
82	37	Zwerge	Rocklin, der frühere König der Zwerge, wurde von einem Zwerg namens Snergle seines Amtes enthoben. Snergle hat die Minen und Höhlen, die früher Rocklin gehörten, umbenannt in 'Snergles Mine' und 'Snergles Höhlen'. Du kannst beide Orte westlich der Berge nahe Burg Ironfist finden. Diese Berge werden die Stahlberge genannt.
83	37	Der Sumpf	Die Sümpfe von Enroth sind Heimat aller möglichen, unheilvollen Monster, einige von ihnen sind untot. Nimm Feuer mit und setze Deine Füße vorsichtig auf, wenn es Dich einmal dahin verschlägt!
84	37	Dragoner	Die Straßen zwischen Burg Ironfist und Neu Sorpigal sind etwas unsicher geworden. Gewöhnlich haben wir hier nur eine Bande von Räubern, die Reisenden auflauert...., aber in diesen Tagen haben wir nicht eine, nicht zwei sondern gleich drei Banden. Als erstes gibt es den abscheulichen Tempel von Baa, dann haben wir das Dragonerversteck nahe der Südküste und zuletzt gibt es noch eine unauthorisierte Diebesgilde, die in der Nähe der Burg ihren Geschäften nachgeht.
85	37	Newt Headrow	Newt unterrichtet südlich von Burg Ironfist Studenten zu Experten der Lederrüstung.
86	37	Rich Hamburg	Du kannst ein Experte der Kettenrüstung werden, wenn Du zu Rich, südlich von Burg Ironfist gehst.
87	37	Benito Tellman	Ein Stück südlich von Burg Ironfist stehen vier kleine Häuser. Benito unterrichtet im nördlichsten davon Studenten zu Experten der Panzerrüstung.
88	37	Edgar Carpenter	Edgar bringt ausreichend geschickten Schildträgern die Techniken der Experten bei.
89	37	Aaron Strongmun	Direkt neben dem Waffenladen in Burg Ironfist unterrichtet Aaron Studenten zu Schwertkampfexperten.
90	37	Stephan Biggs	Zu einem Experten an der Axt kann Dich Stephan im Trainingsgelände ausbilden.
91	37	Helen Teal	Helen lebt mit ihrem Freund Tracy direkt zwischen der Taverne 'Zur königlichen Krone' und dem Waffenschmied 'Das Adlerauge'.
92	37	Tyler Tailor	Tyler kann Dich zu einem Experten der Fähigkeit des Fallen entschärfens ausbilden. Er arbeitet direkt gegenüber dem Trainingsgelände von Burg Ironfist.
93	37	Leon Lazaru	Leon kann Dich zu einem Experten der Reparatur ausbilden, er arbeitet direkt gegenüber dem Trainingsgelände in Burg Ironfist.
94	37	Olaf Berring	Olaf lebt in einem kleinen Haus hinter Burg Ironfist. Er bildet dort Experten der Kondition aus.
95	37	Elton Astrogate	Elton bildet in einem der Türme von Burg Ironfist Schüler zu Experten des Lernens aus.
96	37	Walter Hargreaves	Walter bildet in einem der Türme von Burg Ironfist Schüler zu Experten der Diplomatie aus.
97	37	Terrance Smith	Hinter der Taverne 'Zur königlichen Krone' kannst Du Terrance Smith finden. Er bringt geübten Dolchträgern neue Tricks bei.
98	37	Händler	Ich hörte, es gibt eine Belohnung für denjenigen, der den Dragonerbanditen nahe der Südküste das Handwerk legt. Einige Händler bieten VIEL Geld für die Rückgabe der gestolenen Ware.
99	36	Orden der Faust	Ein kleiner Mönchsorden ist südlich der Schmugglerbucht entstanden. Sie nennen sich der Orden der Faust.
100	36	Piratenschatz	Die Inseln der Schmugglerbucht bergen einen Haufen Piratengold. Das heißt, natürlich nur wenn Du an den Kannibalen vorbei kommst, und den Schatz finden kannst...
101	36	Magische Quelle	Der Standort der magischen Quelle ist immer noch ein Mysterium. Aus unerfindlichen Gründen verrät niemand, der sie gefunden hat, ihren Standort.
102	36	Tempel	Die Kirche der Sonne unterhielt einen Tempel auf einer der Inseln in der Schmugglerbucht.
103	36	Arthur	Eine mächtige Krone. Arthur steigert nicht nur alle physischen Charakteristika des Trägers, sie erhöht auch die Zauberpunkte.
104	36	Helden	Ich habe gehört, daß man einen großen, alten Drachen erschlagen muß, um vom Kreuzritter zum Helden befördert zu werden. Kein Wunder, daß es so wenige Helden gibt!
105	36	Tempel von Tsantsa	Der Tempel von Tsantsa kann auf einer der großen Inseln südlich von Silver Cove gefunden werden. Die Bewohner der Inseln opfern Gefangene gerne ihrem tierischen Gott Tsantsa, und schrumpfen dann ihre Köpfe in den Bädern mit den ekelhaften Chemikalien, die sie in ihrem Tempel aufbewahren. Die Insulaner sind sehr feindselig, also verabschiede Dich von Deinen Liebsten, bevor Du dieses Eiland besuchst.
106	36	Sonnentempel	Auf einer großen Insel östlich von Freehaven steht ein längst verlassener Tempel der Kirche der Sonne. Ein kleiner Orden fehlgeleiteter Mönche hat mit den Insulanern Frieden geschlossen und ist dort eingezogen, wobei sie ein heiliges, gestohlenes Artefakt mit sich brachten. Allerdings haben sie die wahre Natur des Tempels mißverstanden, und die schleichende Magie des alten Tempels hat ihren Verstand angegriffen, so daß sie jetzt glauben, sie müßten den Tempel mit ihrem Leben verteidigen. Die Mönche sind sehr unfreundlich geworden, und greifen alle an, die ihnen zu nahe kommen. Eine traurige Geschichte.
107	36	Preston Harper	Neben der Taverne 'Gobilnzahn' bildet Preston Schüler zu Experten der Kettenrüstung aus.
108	36	Shoshi Pertoniki	Shoshi kann Dir neue Tricks des 6. Sinns beibringen. Sein Haus ist direkt östlich der Taverne 'Goblinzahn'.
109	36	Winston Schezar	Winston war Mitglied des neuen kirchlichen Ordens, aber er hat ihn wieder verlassen. Offenbar hat er etwas zurückgelassen, denn er sucht nach jemandem, der für ihn zurück zum Tempel der Faust geht. Er lebt in einer der Vorkammern des Hauses der Heilung.
110	35	Der himmlische Orden	Cedric Druthers Splittergruppe von Druiden führt Zeremonien in einer Höhle westlich von Silver Cove durch.
111	35	Silberhelme	Die Ordensbruderschaft von Silver unterhält eine Festung nahe Silver Cove. Die Silberhelme scheinen immer brutaler zu werden. Ich frage mich weshalb.
112	35	Der Kriegsherr	Die Festung des Kriegsherren liegt nordöstlich von Silver Cove. Nur die stärksten Krieger werden in seine Armee aufgenommen.
113	35	Schattengilde	Die Schattengilde soll einen großen Stützpunkt nahe Burg Stone haben. Ich bin überrascht, daß Anthony Stone ihn noch nicht entdeckt hat.
114	35	Burg Alamos	Nicht viele Schiffe fahren nach Burg Alamos. Die meisten Kapitäne haben Angst vor den seltsamen Kreaturen, die die nördliche See unsicher machen.
115	35	Licht und Schatten	Gilden des Lichts können in Silver Cove und Blackshire gefunden werden, Gilden der Schattenmagie in Winter Cap und in Blackshire.
116	35	Diamant - Gargoyle	Diamantgargoyles sind die härtesten Gargoyles. Sie sind immun gegen physische Attacken, so daß Du Magie verwenden mußt, um sie zu töten.
117	35	Druiden	Druiden können eine Reihe von Elementarzaubersprüchen aussprechen, wenn sie geärgert werden, sind aber häufig gegen Magie selbst kaum geschützt.
118	35	Lucius	Diese legendären Stiefel ermöglichen dem Träger eine höhere Geschwindigkeit und schnellere Reaktionen.
119	35	Erzdruiden	Um zum Erzdruiden befördert zu werden, muß ein größerer Druide die Zeremonie des Mondes im Mondtempel bei Freehaven durchführen.
120	35	Die Festung des Kriegsherren	Die Festung des Kriegsherren überwacht die Quelle des Flußes Calimar, der sich an Silver Cove vorbeischlängelnd ins Meer ergießt. Ursprünglich gebaut, um eine nahe Stadt zu schützen, ist die Festung zu einem Magneten für Söldner und Kriminelle geworden, nachdem die Stadt von ihren Bewohnern verlassen wurde.
121	35	Der Monolith	Der Monolith überragt die Silverstrasse, die von Silver Cove nach Freehaven führt. Er ist seit Generationen ein Ort der Faszination und der gelegentlichen Huldigung. Vor langer Zeit haben Druiden eine Höhle in den Fels geschlagen, die im Laufe der Zeit von verschiedenen Gruppen bewohnt wurde. Die Druiden, die jetzt in seinem Inneren wohnen, haben mit einer neuen Art von Magie experimentiert und ich denke, es ist irgend etwas schiefgelaufen. Sie vermeiden jeden Kontankt zur Außenwelt und verweigern Besuchern den Zutritt zum Monolithen.
122	35	Silver Cove	Die Stadt Silver Cove hat vor ein paar hundert Jahren als Fischerdorf und Handelsposten angefangen. Mit der Zeit ist unser Dorf zu einer ausgewachsenen Stadt herangewachsen. Wir haben unendlich viel Platz die Stadt auszubauen, und das Land in der Gegend ist fruchtbar und leicht zu bestellen. Wir sind bloß etwas weit vom Rest des Reiches entfernt.
123	35	Loretta Fleise	Die Herrin von Silver Cove scheint mehr am Anhäufen von Reichtümern interessiert zu sein, als am guten Regieren, aber so einfach ist das nicht. Sie gibt oft große Summen für Stadtverbesserungen und Sicherheit aus, sie kann also nicht ganz schlecht sein.
124	35	Freiwillige	Freiwillige Silberhelme haben eine Festung im Norden von Silver Cove eingenommen. Sie klagen Lady Fleise der Sünde der Habgier an, und haben angefangen, ihre Karawanen zwischen Silver Cove und Freehaven anzugreifen. Ich bin sicher, daß sie das nicht erfreuen wird...
125	35	Aalverseuchte Gewässer	Sei vorsichtig, wenn Du die Gewässer nördlich und östlich von Silver Cove befährst - sie werden von gigantischen, menschenfressenden Seeschlangen bewohnt.
126	35	Tagundnacht- gleiche	Die Tagundnachtgleiche ist im Frühling am 20. März und im Herbst am 23. September. Diese Daten sollen für magische Ereignisse sehr wichtig sein.
127	35	Steinkreis	Die White Rock Inseln nördlich von Silver Cove wurden vor langer Zeit von allen zivilisierten Menschen verlassen, und sind jetzt die Heimat von Monstern und Verrückten. Vereinzelt riskieren Druiden ihr Leben und reisen auf diese Inseln, um nach dem legendären Steinkreis zu suchen, den sie für ihre Zeremonie der Sonne brauchen.
128	35	Sir John Silver	Die Silberhelme greifen jeden an, der ihrer Meinung nach nicht zu 100% hinter ihrem Kampf gegen das Böse steht. Ich weiß nicht, wie Du das siehst, aber in meinen Augen kann so eine extreme Position nicht gut sein - was mag Sir John Silver sich dabei denken?
129	35	Verbindungen zur Unterwelt	Die Druiden im Monolithen haben einen Pakt mit der Unterwelt geschlossen - Ich weiß das, weil ich einen Druiden getroffen habe, der von dort entkommen ist. Er sagt, unsagbare Dinge gingen dort vor sich, und wenn nicht bald etwas unternommen wird, wird die Außenwelt bald viel mehr über die Geheimnisse dieses uralten Ortes lernen, als ihr lieb sein kann.
130	35	Tina Sheltan	Tina lebt mit ihrer Tochter östlich des Rathauses. Sie bildet geschickte Schüler zu Experten der Lichtmagie aus.
131	35	Cyrus Montebleu	Du kannst ein Experte der Reparatur werden, wenn Du westlich der Söldnergilde zu Cyrus Montebleu gehst.
132	35	Clyde Dagget	Clyde bildet gegenüber der Gilde des Selbst Schüler zu Experten der Meditation aus.
133	35	Sigriv	Südlich des Trainingsgeländes kann Sigriv Dir die Technik der Experten am Speer beibringen.
134	35	Eleanor Vanderbilt	Ich habe gehört, daß Eleanor die bösen Druiden gerne aus dem Monolithen im Westen herausjagen lassen würde. Sie bietet eine hohe Belohnung für denjenigen, der die Druiden verjagt. Sie ist auf der Ostseite der Stadt, wenn Du mehr wissen willst
135	34	Darkmoor	Die Heimat der Totenbeschwörer, niemand reist zu Burg Darkmoor wenn er nicht Untote treffen will. Ich kann mir nicht vorstellen, das das Dorf Darkmoor ohne Handel mit dem Rest von Enroth noch lange überlebt.
136	34	Drachensand	Die Berge im Westen halten die schrecklichen Kreaturen aus Drachensand davon ab, über den Rest von Enroth herzufallen.
137	34	Snergal	Snergal ist kein guter Anführer, aber keiner der Zwerge wagt es, sich gegen ihn zu erheben.
138	34	Terrax	Terrax hat Darkmoor nicht mehr verlassen, seit er zu einem Lich geworden ist. Er könnte immer noch im Innern sein, und mit neuen magischen Zaubersprüchen experimentieren.
139	34	Geister	Die Geister, die im Sumpf der Verdammten spuken, können Dich weit über Dein wahres Alter hinaus altern lassen, mit nur einer einzigen Berührung.
140	34	Harpyie	Harpyien verfluchen ihre unglücklichen Opfer. Glücklicherweise sind sie relativ einfach zu töten.
141	34	Skelett	Obwohl die Skelette die schwächsten der untoten Monster darstellen, können einige von ihnen Dich verfluchen oder Dein Herz mit unnatürlicher Angst erfüllen.
142	34	Igraine	Ein nützlicher Ring für Kleriker oder Paladine. Igraine steigert den Effekt ihrer Zaubersprüche.
143	34	Obsidianlord	Osric fordert einen Geschicklichkeitstest für die Beförderung zum Obsidianlord. Nur Wenige haben diesen Test bisher bestanden.
144	34	Connie Lettering	Direkt außerhalb des Dorfes Darkmoor kann Connie Dich zu einem Experten des Axtkampfes ausbilden.
145	34	Casey Ludwig	Im Süden des Dorfes Darkmoor kann Casey Dich zu einem Experten des Handelns ausbilden.
146	34	Jack Crow	Gegenüber dem Magieladen 'Rauch und Spiegel' kann Jack Dich zu einem Experten an der Keule ausbilden.
147	34	Avinril Smythers	Avinril war ein wichtiger Zwerg, bis der neue König Snergle ihn herauswarf. Er sinnt jetzt auf Rache, und braucht dabei Hilfe. Du kannst ihn oft in der Nähe einer der Zwergenminen finden.
