Global Text	
189	%s trifft %s für %lu Punkte
190	Speichert
191	Skorpion
192	Nach oben
193	Nach unten
194	Auswählen
195	Gegenstand auswählen, der gekauft werden soll
196	Speziellen Gegenstand auswählen, der gekauft werden soll
197	Gegenstand zur Identifizierung auswählen
198	Gegenstand zur Reparatur auswählen
199	Gegenstand auswählen, der verkauft werden soll
200	Verkaufen
201	Bist Du sicher? Erneutes Klicken startet neues Spiel
202	Setzen
203	Schuß
204	Ladeninhaber
205	Fähigkeiten
206	Fähigkeiten für
207	Fähigkeitspunkte
208	SOUNDLAUTSTÄRKE
209	ZP
210	Spezialitäten
211	Reaktion
212	Zauberpunkte
213	Zauberspruch
214	Spirituell
215	Stallmeister
216	Attribute
217	hungert
218	SCHRITTMODUS
219	versorgt
220	Stein
221	Von Attributen abziehen
222	Sonntag
223	Stier
224	Erzähler
225	der
226	Drohung
227	Donnerstag
228	Unterrichten
229	In neues Gebiet reisen
230	Dienstag
231	K.O.
232	Nicht identifizert
233	Benutzen
234	Jungfrau
235	Gehen
236	Ohne Heilung warten
237	Bis Sonnenaufgang
238	5 Minuten warten
239	1 Stunde warten
240	Wasser
241	schwach
242	Waffen
243	Mittwoch
244	Abheben
245	Jahr
246	Aufschrei
247	Ja
248	Du bist %s
249	Du hast
250	Du brauchst %s
251	Heranzoomen
252	Herauszoomen
253	Obsidiankämpfer
254	Obsidiankrieger
255	Obsidianlord
256	Kleriker
257	Priester
258	Hohepriester
259	Hexer
260	Hexenmeister
261	Erzmagier
262	Paladin
263	Kreuzritter
264	Held
265	Schütze
266	Kampfmagier
267	Kriegsmagier
268	Druide
269	Großdruide
270	Erzdruide
271	Stab
272	Schwert
273	Dolch
274	Axt
275	Speer
276	Bogen
277	Keule
278	Blaster
279	Schild
280	Leder
281	Ketten
282	Panzer
283	Feuer
284	Luft
285	Wasser
286	Erde
287	Licht
288	Schatten
289	Spirituell
290	Geist
291	Körper
292	Erkennen
293	Handel
294	Reparieren
295	Kondition
296	Meditation
297	6.Sinn
298	Diplomatie
299	Diebstahl
300	Falle
301	Lernen
302	Fanatiker
303	Edel
304	Beamter
305	Bürger
306	Gelehrter
307	Dieb
308	Schmied
309	Waffenschmied
310	Führer
311	Spurensucher
312	Pfadfinder
313	Seemann
314	Navigator
315	Expertenheiler
316	Meisterheiler
317	Lehrer
318	Armeemeister
319	Waffenmeister
320	Lehrling
321	Mystiker
322	Zaubermeister
323	Händler
324	Späher
325	Ratgeber
326	Rechtsanwalt
327	Kesselflicker
328	Schlosser
329	Narr
330	Schornsteinfeger
331	Gepäckträger
332	Quartiermeister
333	Agent
334	Bankier
335	Koch
336	Chefkoch
337	Pferdezüchter
338	Barde
339	Verzauberer
340	Kartograph
341	Windmeister
342	Wassermeister
343	Tormeister
344	Meßdiener
345	Flötenspieler
346	Forscher
347	Pirat
348	Knappe
349	Hellseher
350	Zigeuner
351	Unterhändler
352	Betrüger
353	Einbrecher
354	Leibeigener
355	Schneider
356	Arbeiter
357	Bauer
358	Faßbinder
359	Töpfer
360	Weber
361	Schuster
362	Torfstecher
363	Müller
364	Zimmermann
365	Steinmetz
366	Spaßvogel
367	Trapper
368	Bettler
369	Viehdieb
370	Jäger
371	Schriftgelehrter
372	Missionar
373	Anhänger von Baa
374	Spieler
375	Leuchtfeuer setzen
376	Leuchtfeuer
377	Zurückrufen
378	Leuchtfeuer
379	nach
380	Du kennst den Zauberspruch %s bereits
381	Du hast nicht die Fähigkeit, %s zu lernen
382	Dieser Spieler ist %s
383	sein
384	ihr
385	Sir
386	Sir
387	Lady
388	Herr
389	Lady
390	Bruder
391	Schwester
392	Sohn
393	Tochter
394	Unbekannt
395	Morgen
396	Tag
397	Abend
398	Etwas trinken
399	Trinkgeld geben
400	Zaubersprüche kaufen
401	Fähigkeit kostet: %lu
402	%s studieren
403	Du kennst die Fähigkeit %s bereits
404	%d Tage bis %s
405	Reise kostet %d Gold
406	Anheuern
407	Mehr Informationen
408	%s entlassen
409	%s verlassen?
410	Verlasse %s
411	Betrete %s
412	Die Erstellung der Charaktere kann erst beendet werden, wenn Du allen Charakteren 2 weitere Fähigkeiten gegeben und alle Bonuspunkte verteilt hast.
413	Du kannst nicht mehr als 50 Punkte verteilen
414	Dieser Ort ist von %d Uhr %s bis %d Uhr %s geöffnet
415	Januar
416	Februar
417	März
418	April
419	Mai
420	Juni
421	Juli
422	August
423	September
424	Oktober
425	November
426	Dezember
427	Wegen %ss Zustand ist %s nicht möglich.
428	Zauberspruch mißlungen
429	%s (%s)
430	%s hat Level %lu und %lu Fähigkeitspunkte!
431	Normal
432	Meister
433	Experte
434	Die Ausbildung hat %lu Tage gedauert!
435	Mit %s reden
436	Minuten
437	Minute
438	Sekunden
439	Sekunde
440	Heldentum
441	Eile
442	Steinhaut
443	Segen
444	Hoppla!
445	Glückstag
446	Identifikation mißlungen
447	Präzision
448	Reparatur mißlungen
449	Kraft
450	Aktive Zaubersprüche: %s
451	Aktive Gruppenzaubersprüche
452	Fackellicht
453	Magisches Auge
454	Federfall
455	Fliegen
456	Wasserwandeln
457	Schutzengel
458	Schutz vor Feuer
459	Schutz vor Elektrizität
460	Schutz vor Kälte
461	Schutz vor Gift
462	Schutz vor Magie
463	Typ: %s
464	Ladungen
465	Wert
466	Du findest %lu Gold (Begleiter nehmen %lu)!
467	Du steckst %lu Gold ein!
468	Hier klicken verteilt %d Fähigkeitspunkte
469	Du brauchst %d Fähigkeitspunkte, um aufzusteigen
470	%s nehmen
471	Du findest einen Gegenstand (%s)!
472	a.m.
473	p.m.
474	Nach %s zurückrufen
475	Stelle %s über %s ein
476	Auf %s stellen
477	Du ruhst bereits
478	Du kannst im zugbasierten Modus nicht ruhen
479	Du kannst hier nicht ruhen!
480	Es sind feindliche Monster in der Nähe!
481	Begegnung!
482	Du hast nicht genug Nahrung, um zu ruhen
483	%s als Quick-Zauber festlegen
484	Hier klicken, um Quick-Zauber festzulegen
485	%s aussprechen
486	%s auswählen
487	Du bist bereits Meister dieser Fähigkeit
488	Du hast nicht genug Fähigkeitspunkte
489	Du hast %d Gold, %d in der Bank
490	Du findest %d Gold und einen Gegenstand (%s)!
491	Meteorregen kann nicht in Räumen ausgesprochen werden!
492	Inferno kann nicht im Freien ausgesprochen werden!
493	Sprung kann nicht ausgesprochen werden, wenn in der Luft!
494	Fliegen kann nicht in Räumen ausgesprochen werden!
495	Sternenfeuer kann nicht in Räumen ausgesprochen werden!
496	Es gibt kein gültiges Ziel!
497	Prismenfeuer kann nicht im Freien ausgesprochen werden!
498	Mondstrahl kann nicht in Räumen ausgesprochen werden!
499	Armageddon kann nicht in Räumen ausgesprochen werden!
500	Du hast %lu Gold
501	Du hast %lu Nahrung
502	Du findest %lu Nahrung
503	Du verlierst %lu Gold
504	Du verlierst %lu Nahrung
505	Lese...
506	Roderick
507	Alexis
508	Serena
509	Zoltan
510	heilig
511	engelsgleich
512	glorreich
513	ehrenvoll
514	achtbar
515	Durchschnitt
516	schlecht
517	gemein
518	abscheulich
519	monströs
520	berüchtigt
521	Hier ist nichts
522	ZP Kosten
523	Leuchtfeuer zurückrufen
524	Erneut hast Du dem Tod ein Schnäppchen geschlagen!...
525	Zeit in Enroth
526	Zeit
527	Danke schön!
528	Ich kann Dir nichts weiteres anbieten.
529	Sorry, aber wir können Dich nicht unterrichten.
530	Mond
531	Ort
532	Warte noch 
533	Ich kann nicht mitkommen, Deine Gruppe ist vollzählig.
534	%s werden in %s für %lu Gold
535	Lernen
536	Mit Deinen Fähigkeiten solltest Du hier als Lehrer arbeiten.
537	Zu Level %d für %d Gold ausbilden lassen
538	Du brauchst %d mehr Erfahrung für die Ausbildung zu Level %d
539	Gegenstände kaufen
540	Gegenstände verkaufen
541	Gegenstände erkennen
542	Gegenstände reparieren
543	Spezielle Gegenstände
544	Suche Dein Wissen woanders, %s
545	Burg Ironfist
546	Neu Sorpigal
547	Free Haven
548	Arena
549	Blackshire
550	Kriegspire
551	White Cap
552	Silver Cove
553	Darkmoor
554	Mist
555	Schmugglerbucht West
556	Vulkan
557	Einsiedlerinsel
558	Kind
559	Nordinsel
560	Südinsel
561	Sorry, komm´ einen anderen Tag wieder
562	das
563	Gepäck ist voll!
564	Prost...
565	Trink erst mal was...
566	Dämmerung
567	Nacht
568	Knüppel
569	Fertig!
570	So gut wie neu!
571	Vorbereiteter Zauber: %s
572	Nach links blättern
573	Nach rechts blättern
574	Willkommen in der Arena von Leben und Tod. Denke daran, Dir ist je Besuch nur ein Arenakampf gestattet. Wähle für einen Arenakampf die Option aus, die Dein Können am besten beschreibt und kehre zu mir zurück - wenn Du überlebst...
575	Warte bitte, während ich die Monster herbeirufe. Viel Glück.
576	Gratulation zu Deinem Sieg... Hier hast Du... %u Gold.
577	Los, wieder rein da, Ihr Flaschen...
578	Page
579	Knappe
580	Ritter
581	Gebieter
582	Du hast diesen Gang in die Arena schon gewonnen...
583	In der Arena kann nicht gespeichert werden
584	Hier klicken, um den Quick-Zauber zu entfernen
585	Die Qualität des Gegenstandes ist nicht hoch genug
586	Nicht genug Zauberpunkte
587	Angriffsbonus
588	Angriffsschaden
589	Schußbonus
590	Schußschaden
591	verzaubert
592	geschrumpft
593	verlangsamt
594	umnachtet
595	Zauberstab
